@400000005e70813f0a382e00 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e70813f34361ae9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7081b2039c97a1 #d,-,18,2832,2368,1209,88,0,200998,12461,2832,2368,1215,2830,2365,1209,98,100,0,501,2885;
@400000005e7081b403b105f0 #d,-,18,2833,2366,1211,89,0,201020,12463,2833,2368,1213,2832,2365,1209,98,100,0,501,2870;
@400000005e7081b403bedcb0 #d,-,18,2834,2368,1210,89,0,201040,12464,2834,2368,1211,2833,2366,1208,98,100,0,501,2870;
@400000005e7081b603c9d58f #d,-,18,2838,2366,1204,90,0,201247,12477,2838,2368,1239,2834,2365,1200,98,100,0,501,2892;
@400000005e7081b603cfb5a5 #d,-,18,3036,2368,1238,91,0,201280,12479,3036,2368,1439,2838,2365,1204,100,100,0,501,3036;
@400000005e7081b803d9697b #d,-,18,2923,2366,1242,92,0,201319,12481,3036,2368,1263,2923,2365,1153,97,100,0,501,2990;
@400000005e7081b803dfe9c1 #d,-,18,2923,2367,1239,93,0,201380,12485,2923,2367,1244,2923,2365,1236,98,100,0,501,2958;
@400000005e7081ba03eb015b #d,-,18,2919,2366,1229,93,0,201428,12488,2923,2368,1244,2919,2365,1225,99,100,0,501,2929;
@400000005e7081ba03f221d1 #d,-,18,2920,2367,1242,94,0,201509,12493,2920,2367,1277,2919,2365,1229,99,100,0,501,2943;
@400000005e7081bc04024ac1 #d,-,18,2920,2367,1224,95,0,201556,12496,2920,2368,1243,2920,2366,1223,98,100,0,501,2961;
@400000005e7081bc040ce949 #d,-,18,2915,2366,1240,96,0,201765,12509,2920,2368,1240,2915,2365,1224,100,100,0,501,2915;
@400000005e7081be041c797b #d,-,18,2919,2368,1349,97,0,201796,12511,2919,2368,1445,2915,2365,1240,98,100,0,501,2951;
@400000005e7081be0425fb07 #d,-,18,3101,2367,1211,98,0,201837,12513,3101,2369,1349,2919,2364,1208,98,100,0,501,3162;
@400000005e7081c0042fbaf9 #d,-,18,2764,2368,1108,98,0,201762,12509,3101,2369,1211,2764,2366,1108,98,100,0,501,2808;
@400000005e7081c004350ab4 #d,-,18,2689,2365,1112,99,0,201658,12502,2764,2369,1182,2689,2364,1091,98,100,0,501,2739;
@400000005e7081c20440f5b7 #d,-,18,2577,2368,1109,100,0,201526,12494,2689,2369,1113,2577,2364,1098,98,100,0,501,2614;
@400000005e7081c20449692e #d,-,18,2579,2367,1210,101,0,201482,12491,2579,2368,1225,2577,2366,1105,98,100,0,501,2625;
@400000005e7081c40458daa4 #d,-,18,2826,2368,1210,101,0,201638,12501,2826,2368,1210,2579,2364,1191,99,100,0,501,2846;
@400000005e7081c404638cbb #d,-,18,2825,2365,1201,102,0,201502,12493,2826,2369,1246,2825,2365,1180,99,100,0,501,2847;
@400000005e7081c6046ed01b #d,-,18,2759,2363,1400,103,0,201468,12491,2825,2368,1400,2759,2362,1072,97,100,0,501,2826;
@400000005e7081c6047632b1 #d,-,18,3015,2367,1176,104,0,201703,12505,3015,2367,1433,2759,2363,1149,99,100,0,501,3018;
@400000005e7081c804810f9f #d,-,18,2829,2366,1215,104,0,201736,12507,3015,2368,1248,2829,2364,1176,98,100,0,501,2872;
@400000005e7081c804870e70 #d,-,18,2830,2368,1210,105,0,201600,12499,2830,2368,1215,2829,2366,1209,98,100,0,501,2876;
@400000005e7081ca04926919 #d,-,18,2831,2368,1220,106,0,201624,12500,2831,2368,1234,2830,2366,1203,98,100,0,501,2869;
@400000005e7081ca0499bbd9 #d,-,18,2828,2366,1141,107,0,201743,12508,2831,2368,1221,2828,2366,1136,99,100,0,501,2842;
@400000005e7081cc04a54513 #d,-,18,2687,2367,1101,107,0,201480,12491,2828,2369,1142,2687,2366,1087,97,100,0,501,2749;
@400000005e7081cc04af014b #d,-,18,2683,2368,1206,108,0,201472,12491,2687,2369,1236,2683,2366,1098,100,100,0,501,2683;
@400000005e7081ce04b9888a #d,-,18,2833,2368,1078,109,0,201404,12487,2833,2369,1209,2683,2366,1069,98,100,0,501,2878;
@400000005e7081ce04beff63 #d,-,18,2761,2368,1272,110,0,201674,12503,2833,2368,1428,2761,2364,1078,100,100,0,501,2761;
@400000005e7081d004cc9403 #d,-,18,2941,2369,1113,111,0,201475,12491,2941,2369,1272,2761,2366,1113,96,100,0,501,3036;
@400000005e7081d004d4fc4d #d,-,18,2510,2367,1143,111,0,201300,12480,2941,2369,1143,2510,2367,1000,97,100,0,501,2568;
@400000005e7081d204e53c85 #d,-,18,2633,2369,1155,112,0,201389,12486,2633,2369,1175,2510,2367,1143,99,100,0,501,2646;
@400000005e7081d204efd2ab #d,-,18,2726,2367,1167,113,0,201370,12484,2726,2369,1209,2633,2366,1155,99,100,0,501,2749;
@400000005e7081d4050007b5 #d,-,18,2729,2368,1203,114,0,201202,12474,2729,2368,1203,2726,2366,1158,97,100,0,501,2792;
@400000005e7081d4050af832 #d,-,18,2733,2367,1166,114,0,201170,12472,2733,2368,1204,2729,2366,1160,97,100,0,501,2796;
@400000005e7081d6051bd4e0 #d,-,18,2733,2367,1166,115,0,201270,12478,2733,2368,1167,2733,2366,1166,98,100,0,501,2765;
@400000005e7081d605267adb #d,-,18,2733,2368,1165,116,0,201102,12468,2733,2368,1169,2733,2366,1165,98,100,0,501,2769;
@400000005e7081d805375789 #d,-,18,2733,2369,1166,117,0,201067,12466,2733,2369,1167,2733,2366,1165,98,100,0,501,2765;
@400000005e7081d80541cef4 #d,-,18,2733,2366,1194,117,0,201041,12464,2733,2369,1194,2733,2366,1165,98,100,0,501,2769;
@400000005e7081da0552a075 #d,-,18,2737,2368,1166,118,0,201013,12462,2737,2369,1196,2733,2365,1160,97,100,0,501,2796;
@400000005e7081da055d0450 #d,-,18,2736,2367,1166,119,0,200980,12460,2737,2369,1167,2736,2366,1166,98,100,0,501,2764;
@400000005e7081dc056e1abc #d,-,18,2735,2367,1168,120,0,200947,12458,2736,2369,1169,2735,2364,1166,98,100,0,501,2767;
@400000005e7081dc05787bcd #d,-,18,2735,2366,1166,120,0,200915,12456,2735,2369,1168,2735,2366,1165,98,100,0,501,2767;
@400000005e7081de0587c537 #d,-,18,2735,2368,1184,121,0,200886,12454,2735,2368,1184,2735,2366,1165,98,100,0,501,2765;
@400000005e7081de0592ddc0 #d,-,18,2738,2367,1166,122,0,200862,12453,2738,2369,1197,2735,2364,1160,97,100,0,501,2796;
@400000005e7081e005a256aa #d,-,18,2737,2367,1166,123,0,200832,12451,2738,2368,1168,2737,2366,1165,99,100,0,501,2762;
@400000005e7081e005acb312 #d,-,18,2738,2367,1233,123,0,200847,12452,2738,2369,1249,2737,2363,1165,98,100,0,501,2771;
@400000005e7081e205c134f0 #d,-,18,2893,2366,1207,124,0,200871,12454,2893,2369,1233,2738,2366,1207,99,100,0,501,2922;
@400000005e7081e205d00daa #d,-,18,2830,2368,1216,125,0,200882,12454,2893,2368,1216,2830,2366,1201,98,100,0,501,2867;
@400000005e7081e405e04de2 #d,-,18,2835,2368,1214,126,0,201041,12464,2835,2369,1249,2830,2366,1210,97,100,0,501,2901;
@400000005e7081e405ea9213 #d,-,18,2837,2366,1212,127,0,200937,12458,2837,2368,1216,2835,2366,1211,98,100,0,501,2883;
@400000005e7081e605f7a274 #d,-,18,2838,2368,1215,127,0,200957,12459,2838,2368,1216,2837,2366,1212,98,100,0,501,2876;
@400000005e7081e605ff2fe1 #d,-,18,2839,2367,1213,128,0,200976,12460,2839,2369,1216,2838,2367,1212,98,100,0,501,2881;
@400000005e7081e806089a25 #d,-,18,2992,2368,1274,129,0,201237,12476,2992,2368,1434,2839,2365,1211,100,100,0,501,2992;
@400000005e7081e8060dd1a9 #d,-,18,2995,2366,1207,130,0,201152,12471,2995,2368,1274,2992,2366,1207,96,100,0,501,3096;
@400000005e7081ea06188fdb #d,-,18,2854,2366,1205,131,0,201169,12472,2995,2367,1224,2854,2365,1205,98,100,0,501,2888;
@400000005e7081ea061f8933 #d,-,18,2851,2368,1219,131,0,201187,12473,2854,2368,1223,2851,2366,1205,99,100,0,501,2872;
