@400000005e73256210bf9cd8 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e7325623ab25da9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7326070c9ac287 #d,-,18,2710,2345,1167,131,0,210144,13028,2711,2345,1169,2710,2342,1167,98,100,0,501,2739;
@400000005e7326070ca5c2d8 #d,-,18,2710,2341,1168,132,0,210046,13022,2710,2345,1170,2710,2341,1167,98,100,0,501,2741;
@400000005e7326090cb41753 #d,-,18,2710,2341,1182,133,0,209963,13017,2710,2343,1200,2710,2341,1168,98,100,0,501,2742;
@400000005e7326090cbec5b0 #d,-,18,2712,2343,1167,133,0,209864,13011,2712,2344,1182,2710,2341,1160,98,100,0,501,2767;
@400000005e73260b0cca8d4f #d,-,18,2712,2342,1167,134,0,209768,13005,2712,2344,1169,2712,2341,1166,98,100,0,501,2741;
@400000005e73260b0cd4d26f #d,-,18,2711,2343,1167,135,0,209798,13007,2712,2344,1168,2711,2341,1166,98,100,0,501,2739;
@400000005e73260d0ce19760 #d,-,18,2710,2341,1166,136,0,209579,12993,2711,2343,1168,2710,2341,1165,99,100,0,501,2737;
@400000005e73260d0ceca014 #d,-,18,2709,2343,1196,137,0,209500,12989,2710,2343,1199,2709,2341,1166,98,100,0,501,2739;
@400000005e73260f0cfcff07 #d,-,18,2712,2342,1167,137,0,209408,12983,2712,2344,1196,2709,2341,1160,98,100,0,501,2767;
@400000005e73260f0d07828d #d,-,18,2712,2344,1166,138,0,209318,12977,2712,2345,1168,2712,2341,1166,98,100,0,501,2741;
@400000005e7326110d13de41 #d,-,18,2711,2343,1166,139,0,209229,12972,2712,2345,1168,2711,2342,1165,98,100,0,501,2739;
@400000005e7326110d1ecbf2 #d,-,18,2710,2345,1165,140,0,209141,12966,2711,2345,1168,2710,2343,1165,98,100,0,501,2739;
@400000005e7326130d2fee7a #d,-,18,2710,2343,1197,140,0,209183,12969,2710,2345,1197,2710,2343,1165,98,100,0,501,2739;
@400000005e7326130d3aa091 #d,-,18,2713,2344,1274,141,0,208991,12957,2713,2345,1274,2710,2341,1160,97,100,0,501,2769;
@400000005e7326150d4ba45c #d,-,18,3232,2338,1358,142,0,209251,12973,3232,2344,1671,2713,2338,1274,100,100,0,501,3232;
@400000005e7326150d564e11 #d,-,18,3326,2341,1337,143,0,209423,12984,3326,2341,1603,3232,2337,1289,97,100,0,501,3394;
@400000005e7326170d5f43ea #d,-,18,3650,2342,1250,144,0,209808,13008,3650,2342,1687,3326,2338,1250,99,100,0,500,3673;
@400000005e7326170d66cd9d #d,-,18,3388,2340,1713,145,0,209912,13014,3650,2342,1713,3388,2338,1219,97,100,0,500,3463;
@400000005e7326190d71e17e #d,-,18,3753,2340,1380,146,0,210125,13027,3753,2343,1753,3388,2338,1218,99,100,0,501,3785;
@400000005e7326190d7c77a4 #d,-,18,3268,2341,1711,147,0,210409,13045,3753,2342,1711,3268,2339,1325,96,100,0,501,3381;
@400000005e73261b0d851326 #d,-,18,3623,2340,1605,148,0,210720,13064,3623,2344,1711,3268,2338,1218,97,100,0,501,3721;
@400000005e73261b0d8e8897 #d,-,18,3262,2344,1177,149,0,210617,13058,3623,2344,1607,3262,2340,1150,97,100,0,501,3330;
@400000005e73261d0d9ca61f #d,-,18,2707,2342,1190,149,0,210535,13053,3262,2345,1190,2707,2342,1163,98,100,0,501,2749;
@400000005e73261d0da7c9d4 #d,-,18,2711,2344,1169,150,0,210568,13055,2711,2345,1200,2707,2341,1161,97,100,0,501,2774;
@400000005e73261f0db0a003 #d,-,18,2710,2344,1167,151,0,210366,13042,2711,2345,1169,2710,2343,1166,99,100,0,501,2737;
@400000005e73261f0db5d787 #d,-,18,2709,2345,1166,152,0,210279,13037,2710,2345,1167,2709,2343,1166,98,100,0,501,2741;
@400000005e7326210dc64a0a #d,-,18,2709,2347,1167,152,0,210304,13038,2709,2347,1167,2709,2345,1165,98,100,0,501,2739;
