@400000005e8c23a637fc7d93 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8c23a7264ca3e9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8c2451343a4cb9 #d,-,18,2439,2385,1125,126,0,193194,11978,2440,2386,1127,2439,2383,1122,89,100,0,501,2725;
@400000005e8c245334485e26 #d,-,18,2438,2385,1125,127,0,193084,11971,2439,2386,1127,2438,2384,1123,89,100,0,501,2718;
@400000005e8c24533451097e #d,-,18,2437,2386,1126,128,0,192976,11964,2438,2387,1129,2437,2384,1121,89,100,0,501,2727;
@400000005e8c2455345d8895 #d,-,18,2436,2385,1123,128,0,192868,11957,2437,2386,1126,2436,2384,1120,89,100,0,501,2720;
@400000005e8c245534651602 #d,-,18,2435,2381,1814,129,0,192940,11962,2436,2386,1814,2435,2381,1123,89,100,0,501,2718;
@400000005e8c24573473e749 #d,-,18,3084,2385,1209,130,0,192999,11965,3084,2386,1815,2435,2381,1209,93,100,0,501,3315;
@400000005e8c2457347d7402 #d,-,18,2697,2384,1197,131,0,193072,11970,3084,2386,1209,2697,2383,1166,90,100,0,501,2969;
@400000005e8c24593490ba28 #d,-,18,3144,2385,1236,132,0,193186,11977,3144,2385,1871,2697,2381,1197,94,100,0,501,3310;
@400000005e8c2459349c4ad4 #d,-,18,2703,2385,1177,132,0,193154,11975,3144,2385,1236,2703,2382,1177,88,100,0,501,3047;
@400000005e8c245b34b17cb7 #d,-,18,2900,2381,1289,133,0,193347,11987,2900,2385,1872,2703,2381,1160,95,100,0,501,3026;
@400000005e8c245b34be7127 #d,-,18,2900,2385,1150,134,0,193430,11992,2900,2387,1296,2900,2380,1150,87,100,0,501,3299;
@400000005e8c245d34cee3aa #d,-,18,2579,2388,1214,135,0,193479,11995,2900,2388,1855,2579,2384,1137,90,100,0,501,2839;
@400000005e8c245d34d851a7 #d,-,18,3192,2386,1196,135,0,193489,11996,3192,2388,1309,2579,2384,1196,92,100,0,501,3457;
@400000005e8c245f34e7a373 #d,-,18,2621,2384,1838,136,0,193562,12000,3192,2388,1847,2621,2384,1124,90,100,0,501,2896;
