@400000005e7324d82f4725e5 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7324d91d991671 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7325752ae585d5 #d,-,18,2813,2351,1394,113,0,188009,11656,2813,2353,1439,2809,2350,1312,92,100,0,501,3047;
@400000005e7325772af4cb86 #d,-,18,3076,2352,1273,114,0,188128,11663,3076,2353,1414,2813,2350,1187,92,100,0,501,3322;
@400000005e7325772afea2c1 #d,-,18,2809,2353,1138,114,0,188137,11664,3076,2353,1296,2809,2350,1138,92,100,0,501,3040;
@400000005e7325792b0c015d #d,-,18,2475,2352,1137,115,0,188050,11659,2809,2353,1138,2475,2350,1127,89,100,0,501,2772;
@400000005e7325792b14da57 #d,-,18,2468,2351,1130,116,0,187961,11653,2475,2354,1137,2468,2350,1128,91,100,0,501,2704;
@400000005e73257b2b2257af #d,-,18,2463,2351,1131,116,0,187992,11655,2468,2353,1134,2463,2349,1129,91,100,0,501,2704;
@400000005e73257b2b2b8b00 #d,-,18,2458,2352,1131,117,0,187905,11650,2463,2352,1134,2458,2350,1129,91,100,0,501,2701;
@400000005e73257d2b39816a #d,-,18,2454,2353,1130,118,0,187703,11637,2458,2355,1136,2454,2350,1129,90,100,0,501,2704;
@400000005e73257d2b42440a #d,-,18,2450,2357,1132,118,0,187619,11632,2454,2358,1135,2450,2353,1126,90,100,0,501,2704;
@400000005e73257f2b4f6352 #d,-,18,2446,2358,1129,119,0,187534,11627,2450,2358,1135,2446,2354,1126,90,100,0,501,2706;
@400000005e73257f2b585bf6 #d,-,18,2443,2358,1129,120,0,187564,11629,2446,2358,1132,2443,2356,1125,90,100,0,501,2699;
@400000005e7325812b6582b1 #d,-,18,2440,2357,1130,120,0,187369,11616,2443,2358,1131,2440,2354,1126,90,100,0,501,2701;
@400000005e7325812b6e21ed #d,-,18,2438,2357,1132,121,0,187288,11611,2440,2357,1132,2438,2355,1124,90,100,0,501,2699;
@400000005e7325832b7b6cfb #d,-,18,2436,2356,1131,122,0,187209,11606,2438,2357,1135,2436,2355,1126,90,100,0,501,2704;
@400000005e7325832b846d12 #d,-,18,2434,2356,1129,122,0,187129,11602,2436,2357,1133,2434,2355,1126,90,100,0,501,2704;
@400000005e7325852b92770c #d,-,18,2432,2354,1133,123,0,187051,11597,2434,2357,1133,2432,2354,1126,90,100,0,501,2701;
@400000005e7325852b9b2d90 #d,-,18,2431,2354,1126,124,0,187082,11599,2432,2356,1134,2431,2353,1125,90,100,0,501,2701;
@400000005e7325872ba89ecd #d,-,18,2430,2357,1130,124,0,187006,11594,2431,2357,1134,2430,2354,1126,89,100,0,501,2704;
@400000005e7325872bb20910 #d,-,18,2429,2357,1126,125,0,186824,11583,2430,2357,1135,2429,2355,1126,89,100,0,501,2704;
@400000005e7325892bbf6f20 #d,-,18,2428,2357,1130,126,0,186750,11578,2429,2358,1134,2428,2355,1126,89,100,0,501,2706;
@400000005e7325892bc805fa #d,-,18,2428,2356,1129,126,0,186678,11574,2428,2357,1133,2428,2354,1127,89,100,0,501,2701;
@400000005e73258b2bd747f1 #d,-,18,2427,2354,1132,127,0,186605,11569,2428,2356,1135,2427,2354,1126,89,100,0,501,2701;
@400000005e73258b2be107e3 #d,-,18,2533,2353,1378,128,0,186815,11582,2533,2356,1383,2427,2353,1132,91,100,0,501,2758;
@400000005e73258d2bf140a8 #d,-,18,3072,2355,1253,129,0,186897,11587,3072,2356,1430,2533,2353,1253,93,100,0,501,3280;
@400000005e73258d2bfadd36 #d,-,18,2982,2355,1283,130,0,187013,11594,3072,2357,1407,2982,2355,1211,93,100,0,501,3206;
@400000005e73258f2c0b6435 #d,-,18,2767,2354,1342,130,0,187100,11600,2982,2357,1401,2767,2354,1198,90,100,0,501,3052;
@400000005e73258f2c14c25d #d,-,18,3000,2354,1402,131,0,187293,11612,3000,2356,1426,2767,2353,1313,94,100,0,501,3175;
@400000005e7325912c24bcbb #d,-,18,2995,2355,1260,132,0,187387,11618,3000,2357,1402,2995,2354,1185,92,100,0,501,3237;
@400000005e7325912c2ecae8 #d,-,18,2866,2355,1356,133,0,187538,11627,2995,2357,1356,2866,2354,1150,92,100,0,501,3090;
@400000005e7325932c3eeb76 #d,-,18,2861,2353,1391,134,0,187621,11632,2866,2355,1436,2861,2352,1314,93,100,0,501,3050;
@400000005e7325932c487cd7 #d,-,18,3104,2354,1340,134,0,187731,11639,3104,2355,1405,2861,2351,1171,93,100,0,501,3322;
@400000005e7325952c586b1a #d,-,18,2785,2355,1153,135,0,187764,11641,3104,2356,1340,2785,2352,1153,91,100,0,501,3035;
@400000005e7325952c61c588 #d,-,18,2784,2352,1429,136,0,187916,11650,2785,2355,1430,2784,2351,1150,92,100,0,501,3005;
@400000005e7325972c71272a #d,-,18,3078,2352,1250,137,0,188142,11664,3078,2354,1429,2784,2351,1201,93,100,0,501,3287;
@400000005e7325972c7ad746 #d,-,18,2854,2352,1225,138,0,188117,11663,3078,2354,1348,2854,2350,1225,91,100,0,501,3121;
