@400000005e1d72a1179942a6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e1d72a205e5f705 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1d732a11dda34a #d,-,18,2682,2333,1167,100,0,192483,11933,2682,2333,1183,2679,2331,1167,98,100,0,500,2733;
@400000005e1d732a11e7e0f6 #d,-,18,2684,2333,1188,100,0,192495,11934,2684,2333,1188,2682,2332,1167,98,100,0,500,2733;
@400000005e1d732c11f6d86c #d,-,18,2690,2334,1161,101,0,192505,11935,2690,2334,1200,2684,2332,1148,97,100,0,500,2764;
@400000005e1d732c1201dd66 #d,-,18,2688,2332,1159,102,0,192502,11935,2690,2334,1161,2688,2332,1158,99,100,0,500,2708;
@400000005e1d732e120ad251 #d,-,18,2687,2332,1159,103,0,192497,11934,2688,2333,1160,2687,2332,1158,99,100,0,500,2712;
@400000005e1d732e12136571 #d,-,18,2686,2333,1159,103,0,192494,11934,2687,2334,1160,2686,2332,1158,99,100,0,500,2710;
@400000005e1d73301222f1ea #d,-,18,2685,2333,1166,104,0,192490,11934,2686,2333,1166,2685,2332,1159,99,100,0,500,2712;
@400000005e1d7330122d942c #d,-,18,2688,2333,1157,105,0,192499,11934,2688,2334,1191,2685,2333,1150,98,100,0,500,2739;
@400000005e1d733212362393 #d,-,18,2686,2332,1159,106,0,192496,11934,2688,2333,1160,2686,2331,1157,99,100,0,500,2710;
@400000005e1d7332123dc936 #d,-,18,2685,2331,1160,106,0,192491,11934,2686,2332,1161,2685,2330,1158,99,100,0,500,2710;
@400000005e1d73341246872e #d,-,18,2684,2332,1159,107,0,192488,11934,2685,2333,1161,2684,2331,1158,98,100,0,500,2712;
@400000005e1d73341250374b #d,-,18,2683,2331,1160,108,0,192485,11934,2684,2333,1161,2683,2330,1159,98,100,0,500,2712;
@400000005e1d7336125fd753 #d,-,18,2687,2332,1156,109,0,192494,11934,2687,2332,1191,2683,2330,1152,98,100,0,500,2733;
@400000005e1d7336126a288e #d,-,18,2685,2330,1161,109,0,192621,11942,2687,2332,1162,2685,2329,1156,98,100,0,500,2717;
