@400000005e5e06ef1ed98db7 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e5e06f00d371663 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5e07881ba3f108 #d,-,18,4551,2387,1950,165,1,283643,17585,4551,2389,1953,4551,2386,1944,96,100,0,499,4706;
@400000005e5e078a1bb51838 #d,-,18,4551,2387,1950,167,1,284112,17614,4551,2389,1952,4551,2387,1945,96,100,0,499,4709;
@400000005e5e078a1bbf7c13 #d,-,18,4551,2388,1950,168,1,284206,17620,4551,2389,1952,4551,2387,1946,96,100,0,499,4706;
@400000005e5e078c1bd0c1ff #d,-,18,4551,2390,1952,169,1,284484,17638,4551,2390,1953,4551,2387,1946,96,100,0,499,4709;
@400000005e5e078c1bdb41cb #d,-,18,4551,2389,1947,170,1,284758,17655,4551,2390,1954,4551,2387,1944,96,100,0,499,4709;
@400000005e5e078e1bebfecf #d,-,18,4551,2387,1955,172,1,285030,17671,4551,2389,1958,4551,2387,1946,96,100,0,499,4711;
@400000005e5e078e1bf73259 #d,-,18,4552,2387,1948,173,1,285298,17688,4552,2389,1957,4551,2387,1947,96,100,0,499,4711;
@400000005e5e07901c07e6fc #d,-,18,4552,2390,1952,174,1,285563,17704,4552,2390,1953,4552,2387,1946,96,100,0,499,4711;
@400000005e5e07901c126e3b #d,-,18,4552,2389,1950,175,1,285823,17721,4552,2390,1952,4552,2387,1947,96,100,0,499,4711;
@400000005e5e07921c2381dc #d,-,18,4552,2389,1949,177,1,286081,17737,4552,2390,1955,4552,2386,1945,96,100,0,499,4713;
@400000005e5e07921c2e7e74 #d,-,18,4552,2388,1953,178,1,286336,17752,4552,2391,1953,4552,2388,1947,96,100,0,499,4711;
@400000005e5e07941c3f664f #d,-,18,4552,2389,1952,179,1,286589,17768,4552,2390,1955,4552,2388,1945,96,100,0,499,4709;
@400000005e5e07941c4a6a5a #d,-,18,4553,2388,1950,181,1,286838,17783,4553,2390,1954,4552,2388,1945,96,100,0,499,4713;
@400000005e5e07961c5b4e7c #d,-,18,4553,2389,1952,182,1,287083,17799,4553,2390,1955,4553,2388,1944,96,100,0,499,4711;
@400000005e5e07961c65886e #d,-,18,4553,2390,1953,183,1,287327,17814,4553,2391,1954,4553,2389,1945,96,100,0,499,4713;
@400000005e5e07981c784d20 #d,-,18,4553,2389,1951,184,1,287567,17829,4553,2391,1954,4553,2388,1945,96,100,0,500,4711;
@400000005e5e07981c844350 #d,-,18,4553,2389,1956,186,1,287806,17843,4553,2391,1961,4553,2388,1945,96,100,0,500,4713;
@400000005e5e079a1c93ee85 #d,-,18,4469,2392,1571,187,1,287768,17841,4553,2393,1956,4469,2389,1530,95,100,0,500,4668;
@400000005e5e079a1c9daf65 #d,-,18,3465,2394,1162,187,1,287328,17814,4469,2394,1571,3465,2392,1112,92,100,0,500,3739;
@400000005e5e079c1caca322 #d,-,18,2665,2394,1177,188,1,286742,17778,3465,2395,1211,2665,2393,1162,88,100,0,500,3000;
@400000005e5e079c1cb61d3a #d,-,18,2595,2393,1170,189,1,286151,17741,2665,2395,1182,2595,2393,1170,90,100,0,500,2867;
@400000005e5e079e1cc6612b #d,-,18,2592,2394,1166,190,1,285561,17704,2595,2395,1173,2592,2393,1166,90,100,0,500,2858;
@400000005e5e079e1ccfbf53 #d,-,18,2587,2394,1160,190,1,284969,17668,2592,2395,1166,2587,2393,1158,91,100,0,499,2836;
@400000005e5e07a01cdfd4b4 #d,-,18,2582,2395,1155,191,1,284379,17631,2587,2395,1163,2582,2393,1155,91,100,0,499,2827;
@400000005e5e07a01ce94ecc #d,-,18,2576,2393,1154,192,1,283794,17595,2582,2395,1158,2576,2393,1150,91,100,0,499,2817;
@400000005e5e07a21cf90d90 #d,-,18,2570,2394,1153,192,1,283214,17559,2576,2396,1157,2570,2392,1153,91,100,0,499,2813;
@400000005e5e07a21d0219c3 #d,-,18,2565,2394,1151,193,1,282640,17523,2570,2396,1156,2565,2394,1149,91,100,0,499,2813;
@400000005e5e07a41d11b611 #d,-,18,2559,2395,1151,194,1,282067,17488,2565,2396,1151,2559,2394,1146,91,100,0,499,2803;
@400000005e5e07a41d1b379d #d,-,18,2554,2393,1147,195,1,281501,17453,2559,2396,1153,2554,2393,1144,91,100,0,499,2801;
@400000005e5e07a61d2acb89 #d,-,18,2503,2392,1147,195,1,280936,17418,2554,2395,1148,2503,2392,1140,89,100,0,499,2789;
@400000005e5e07a61d34ce89 #d,-,18,2503,2394,1145,196,1,280379,17383,2503,2394,1148,2503,2392,1145,89,100,0,499,2791;
@400000005e5e07a81d44ef17 #d,-,18,2504,2394,1143,197,1,279828,17349,2504,2394,1148,2503,2392,1143,89,100,0,499,2791;
@400000005e5e07a81d4e88d9 #d,-,18,2503,2395,1142,197,1,279280,17315,2504,2395,1144,2503,2392,1139,89,100,0,499,2787;
@400000005e5e07aa1d5ee413 #d,-,18,2502,2395,1140,198,1,278736,17281,2503,2395,1144,2502,2393,1137,90,100,0,499,2779;
@400000005e5e07aa1d685210 #d,-,18,2500,2394,1135,199,1,278195,17248,2502,2395,1140,2500,2392,1135,90,100,0,499,2775;
@400000005e5e07ac1d78157c #d,-,18,2498,2393,1138,199,1,277661,17215,2500,2394,1141,2498,2392,1135,90,100,0,499,2772;
