@400000005e81963533d3752b #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8196362223c746 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8196aa2d41965c #d,-,18,2424,2402,1115,78,0,179235,11112,2424,2404,1119,2424,2401,1113,88,100,0,500,2727;
@400000005e8196aa2d4a3d0b #d,-,18,2424,2404,1114,79,0,179190,11109,2424,2404,1119,2424,2401,1112,88,100,0,500,2725;
@400000005e8196ac2d576fe2 #d,-,18,2424,2404,1115,80,0,178988,11097,2424,2404,1117,2424,2402,1111,88,100,0,500,2725;
@400000005e8196ac2d609805 #d,-,18,2423,2402,1115,81,0,178945,11094,2424,2404,1117,2423,2401,1113,89,100,0,500,2720;
@400000005e8196ae2d6e62aa #d,-,18,2423,2402,1117,81,0,178899,11091,2423,2403,1117,2423,2401,1113,88,100,0,500,2723;
@400000005e8196ae2d76ee57 #d,-,18,2422,2401,1114,82,0,178854,11088,2423,2403,1118,2422,2401,1113,89,100,0,500,2720;
@400000005e8196b02d83df0e #d,-,18,2423,2403,1116,83,0,178813,11086,2423,2403,1120,2422,2400,1113,88,100,0,500,2723;
@400000005e8196b02d8d028a #d,-,18,2422,2403,1114,83,0,178772,11083,2423,2404,1121,2422,2403,1114,88,100,0,500,2730;
@400000005e8196b22d9ac202 #d,-,18,2423,2405,1115,84,0,178735,11081,2423,2405,1118,2422,2403,1114,88,100,0,500,2725;
@400000005e8196b22da34daf #d,-,18,2423,2402,1115,85,0,178842,11088,2423,2405,1121,2423,2401,1112,88,100,0,500,2727;
@400000005e8196b42db051f4 #d,-,18,2423,2403,1118,85,0,178658,11076,2423,2403,1118,2423,2401,1114,88,100,0,500,2725;
@400000005e8196b42db98545 #d,-,18,2423,2402,1116,86,0,178621,11074,2423,2404,1119,2423,2401,1115,88,100,0,500,2727;
@400000005e8196b62dc84e2a #d,-,18,2424,2403,1114,87,0,178584,11072,2424,2403,1119,2423,2401,1111,88,100,0,500,2727;
@400000005e8196b62dd19150 #d,-,18,2517,2402,1297,87,0,178702,11079,2517,2403,1297,2424,2401,1114,90,100,0,500,2784;
@400000005e8196b82de0567b #d,-,18,2785,2400,1273,88,0,178902,11091,2785,2403,1301,2517,2400,1261,91,100,0,500,3038;
@400000005e8196b82de9b592 #d,-,18,2852,2401,1274,89,0,179102,11104,2852,2403,1280,2785,2400,1273,91,100,0,500,3107;
@400000005e8196ba2df88e4c #d,-,18,2852,2402,1279,90,0,179302,11116,2852,2402,1281,2852,2400,1274,91,100,0,500,3111;
@400000005e8196ba2e01a5ac #d,-,18,2852,2400,1153,90,0,179438,11125,2852,2402,1281,2852,2400,1153,91,100,0,500,3116;
@400000005e8196bc2e0f17d7 #d,-,18,2473,2401,1140,91,0,179459,11126,2852,2404,1153,2473,2400,1028,87,100,0,500,2820;
@400000005e8196bc2e17e5a4 #d,-,18,2377,2403,1120,92,0,179288,11115,2473,2403,1141,2377,2401,1109,89,100,0,500,2663;
@400000005e8196be2e25a51c #d,-,18,2439,2403,1123,92,0,179255,11113,2439,2403,1125,2377,2400,1119,89,100,0,500,2737;
@400000005e8196be2e2e5ba0 #d,-,18,2438,2402,1123,93,0,179224,11111,2439,2403,1124,2438,2400,1120,89,100,0,500,2737;
@400000005e8196c02e3b7ea2 #d,-,18,2438,2401,1124,94,0,179195,11110,2438,2403,1125,2438,2401,1120,88,100,0,500,2742;
@400000005e8196c02e4454d0 #d,-,18,2439,2401,1132,94,0,179170,11108,2439,2402,1132,2438,2400,1120,89,100,0,500,2739;
@400000005e8196c22e5125dd #d,-,18,2441,2400,1130,95,0,179150,11107,2441,2401,1132,2439,2398,1128,88,100,0,500,2753;
@400000005e8196c22e5a25f5 #d,-,18,2442,2401,1121,96,0,179119,11105,2442,2403,1130,2441,2400,1118,88,100,0,500,2749;
@400000005e8196c42e6774bc #d,-,18,2441,2403,1123,97,0,179089,11103,2442,2403,1124,2441,2400,1119,89,100,0,500,2739;
@400000005e8196c42e704289 #d,-,18,2440,2403,1119,97,0,179057,11101,2441,2403,1123,2440,2400,1117,89,100,0,500,2734;
@400000005e8196c62e7f3645 #d,-,18,2440,2402,1125,98,0,179032,11100,2440,2403,1130,2440,2401,1118,89,100,0,500,2732;
@400000005e8196c62e884e93 #d,-,18,2440,2402,1116,99,0,178996,11097,2440,2403,1125,2440,2401,1113,89,100,0,500,2737;
@400000005e8196c82e963d8b #d,-,18,2438,2402,1224,99,0,178992,11097,2440,2402,1224,2438,2399,1112,89,100,0,500,2725;
@400000005e8196c82e9ff161 #d,-,18,2589,2399,1268,100,0,179255,11113,2589,2402,1303,2438,2399,1193,90,100,0,500,2855;
@400000005e8196ca2eaee164 #d,-,18,2864,2401,1279,101,0,179432,11124,2864,2401,1286,2589,2398,1267,92,100,0,500,3104;
@400000005e8196ca2eb81d16 #d,-,18,2863,2399,1278,101,0,179485,11128,2864,2402,1282,2863,2399,1277,91,100,0,500,3114;
@400000005e8196cc2ec6bede #d,-,18,2862,2401,1277,102,0,179660,11138,2863,2401,1283,2862,2399,1276,91,100,0,500,3116;
@400000005e8196cc2ed08377 #d,-,18,2809,2401,1034,103,0,179658,11138,2862,2402,1277,2809,2401,1026,91,100,0,500,3080;
@400000005e8196ce2ede6dc6 #d,-,18,2302,2403,1123,104,0,179600,11135,2809,2404,1145,2302,2401,1034,87,100,0,500,2642;
