@400000005e3180872441d47a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3180881293052b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e31811c213fe35e #d,-,18,4662,2357,2023,153,0,270738,16785,4662,2358,2025,4661,2355,2016,97,100,0,500,4806;
@400000005e31811c214a6e57 #d,-,18,4662,2357,2017,154,0,271172,16812,4662,2358,2023,4662,2357,2013,97,100,0,500,4806;
@400000005e31811e215b1058 #d,-,18,4663,2358,2022,156,0,271601,16839,4663,2358,2024,4662,2357,2014,97,100,0,500,4804;
@400000005e31811e2165beb5 #d,-,18,4663,2358,2020,157,0,272024,16865,4663,2360,2023,4663,2357,2014,97,100,0,500,4804;
@400000005e31812021754686 #d,-,18,4663,2358,2016,158,0,272622,16902,4663,2358,2023,4663,2358,2013,97,100,0,500,4806;
@400000005e318120217fe5fc #d,-,18,4663,2356,2021,160,0,273032,16927,4663,2358,2021,4663,2356,2012,97,100,0,500,4804;
@400000005e318122219002d0 #d,-,18,4662,2356,2013,161,1,273434,16952,4663,2357,2022,4662,2356,2011,97,100,0,500,4799;
@400000005e318122219b06dc #d,-,18,4662,2357,2018,162,1,273834,16977,4662,2358,2022,4662,2356,2011,97,100,0,500,4799;
@400000005e31812421ab1ff6 #d,-,18,4662,2357,2015,164,1,274227,17002,4662,2358,2019,4662,2357,2011,97,100,0,500,4796;
@400000005e31812421b5f1b7 #d,-,18,4661,2357,2018,165,1,274616,17026,4662,2357,2022,4661,2357,2013,97,100,0,500,4799;
@400000005e31812621c5dffa #d,-,18,4661,2357,2022,166,1,275001,17050,4661,2358,2023,4661,2357,2014,97,100,0,500,4801;
@400000005e31812621d0770e #d,-,18,4661,2355,2019,167,1,275207,17062,4661,2358,2024,4661,2355,2016,96,100,0,500,4806;
@400000005e31812821e041ed #d,-,18,4662,2354,2022,169,1,275586,17086,4662,2355,2030,4661,2352,2016,97,100,0,500,4804;
@400000005e31812821eb0f06 #d,-,18,4663,2355,2027,170,1,275961,17109,4663,2355,2029,4662,2353,2019,96,100,0,500,4808;
@400000005e31812a21fb4f3e #d,-,18,4664,2354,2033,171,1,276507,17143,4664,2356,2033,4663,2354,2024,96,100,0,500,4815;
@400000005e31812a2206481c #d,-,18,4667,2353,2028,173,1,276704,17155,4667,2355,2034,4664,2351,2024,96,100,0,500,4820;
@400000005e31812c221632a6 #d,-,18,4668,2352,2031,174,1,277072,17178,4668,2354,2037,4667,2352,2026,96,100,0,500,4822;
@400000005e31812c222082f2 #d,-,18,4670,2353,2034,175,1,277435,17200,4670,2354,2036,4668,2352,2027,96,100,0,500,4820;
@400000005e31812e22303689 #d,-,18,4672,2352,2028,177,1,277793,17223,4672,2354,2035,4670,2351,2025,96,100,0,500,4822;
@400000005e31812e223ab655 #d,-,18,4673,2353,2032,178,1,278146,17245,4673,2353,2034,4672,2351,2027,96,100,0,500,4822;
@400000005e318130224aafc5 #d,-,18,4674,2351,2027,179,1,278495,17266,4674,2354,2035,4673,2351,2026,96,100,0,500,4820;
@400000005e31813022554a93 #d,-,18,4676,2354,2029,180,1,278841,17288,4676,2354,2035,4674,2351,2026,97,100,0,500,4820;
@400000005e31813222659e5a #d,-,18,4677,2352,2031,182,1,279182,17309,4677,2354,2033,4676,2351,2024,97,100,0,500,4820;
@400000005e31813222704543 #d,-,18,4677,2353,2035,183,1,279685,17340,4677,2353,2036,4677,2351,2028,96,100,0,500,4822;
@400000005e318134228065d1 #d,-,18,4678,2353,2034,184,1,279854,17350,4678,2353,2037,4677,2351,2027,96,100,0,500,4825;
@400000005e318134228ae59d #d,-,18,4679,2354,2025,186,1,280182,17371,4679,2354,2036,4678,2352,2025,96,100,0,500,4825;
@400000005e318136229b5f93 #d,-,18,4679,2354,2029,187,1,280507,17391,4679,2356,2034,4679,2353,2023,97,100,0,500,4820;
@400000005e31813622a63d6f #d,-,18,4679,2355,2024,188,1,280827,17411,4679,2355,2032,4679,2353,2021,97,100,0,500,4815;
@400000005e31813822b6d70f #d,-,18,4680,2353,2028,190,1,281146,17431,4680,2355,2035,4679,2352,2024,97,100,0,500,4820;
@400000005e31813822c1c87a #d,-,18,4681,2355,2029,191,1,281461,17450,4681,2355,2035,4680,2352,2024,97,100,0,500,4822;
@400000005e31813a22d22ee1 #d,-,18,4681,2356,2031,192,1,281774,17470,4681,2356,2035,4681,2353,2026,97,100,0,500,4822;
@400000005e31813a22dcbe82 #d,-,18,4682,2353,2030,193,1,282081,17489,4682,2356,2034,4681,2353,2025,97,100,0,500,4825;
@400000005e31813c22ecdf10 #d,-,18,4681,2355,2024,195,1,282541,17517,4682,2355,2032,4681,2353,2022,97,100,0,500,4820;
@400000005e31813c22f785f9 #d,-,18,4681,2354,2031,196,1,282683,17526,4681,2356,2034,4681,2354,2021,97,100,0,500,4818;
