@400000005e71d3f81dbb05d2 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e71d3f90c0b15ce #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e71d4a119a6396d #d,-,18,2465,2368,1128,124,0,192618,11942,2470,2368,1132,2465,2364,1125,90,100,0,500,2711;
@400000005e71d4a319b37c19 #d,-,18,2461,2367,1128,125,0,192511,11935,2465,2368,1132,2461,2367,1124,90,100,0,500,2715;
@400000005e71d4a319bb9d9a #d,-,18,2458,2365,1128,125,0,192404,11929,2461,2367,1131,2458,2365,1125,90,100,0,500,2713;
@400000005e71d4a519cb0b58 #d,-,18,2455,2367,1128,126,0,192299,11922,2458,2367,1132,2455,2365,1125,90,100,0,500,2715;
@400000005e71d4a519d3bd34 #d,-,18,2452,2366,1131,127,0,192197,11916,2455,2367,1133,2452,2366,1126,90,100,0,500,2715;
@400000005e71d4a719e28ac1 #d,-,18,2449,2365,1127,127,0,192206,11916,2452,2366,1132,2449,2364,1124,90,100,0,500,2713;
@400000005e71d4a719eba6c9 #d,-,18,2448,2367,1134,128,0,191996,11903,2449,2367,1134,2448,2365,1126,90,100,0,500,2715;
@400000005e71d4a919f94a51 #d,-,18,2446,2366,1130,129,0,192007,11904,2448,2367,1134,2446,2366,1126,90,100,0,500,2715;
@400000005e71d4a91a01e98d #d,-,18,2445,2365,1129,129,0,191800,11891,2446,2366,1132,2445,2364,1125,90,100,0,500,2715;
@400000005e71d4ab1a10aeb8 #d,-,18,2444,2367,1133,130,0,191703,11885,2445,2367,1133,2444,2365,1126,90,100,0,500,2715;
@400000005e71d4ab1a19ea6a #d,-,18,2443,2367,1127,131,0,191608,11879,2444,2368,1134,2443,2366,1126,89,100,0,500,2718;
@400000005e71d4ad1a2943aa #d,-,18,2442,2366,1130,131,0,191514,11873,2443,2367,1133,2442,2365,1125,89,100,0,500,2715;
@400000005e71d4ad1a31eb48 #d,-,18,2441,2367,1128,132,0,191422,11868,2442,2368,1133,2441,2364,1127,89,100,0,500,2715;
@400000005e71d4af1a414bfb #d,-,18,2441,2366,1130,133,0,191330,11862,2441,2368,1133,2441,2366,1126,89,100,0,500,2715;
@400000005e71d4af1a4b7619 #d,-,18,2495,2366,1566,134,0,191593,11878,2495,2367,1883,2441,2362,1127,91,100,0,500,2732;
@400000005e71d4b11a5de074 #d,-,18,3713,2364,1869,135,0,191848,11894,3713,2368,1869,2495,2364,1210,96,100,0,500,3848;
@400000005e71d4b11a688b17 #d,-,18,3543,2364,1454,136,0,192209,11917,3713,2365,1904,3543,2363,1454,93,100,0,500,3806;
@400000005e71d4b31a797b54 #d,-,18,3292,2365,1399,137,0,192543,11937,3543,2365,1833,3292,2361,1261,93,100,0,500,3526;
@400000005e71d4b31a82be7a #d,-,18,3557,2362,1880,137,0,192852,11956,3557,2366,1921,3292,2362,1209,93,100,0,500,3820;
@400000005e71d4b51a93a655 #d,-,18,3447,2363,1206,138,0,193051,11969,3557,2364,1880,3447,2361,1206,93,100,0,500,3687;
@400000005e71d4b51a9cfd09 #d,-,18,2739,2365,1111,139,0,192980,11964,3447,2366,1206,2739,2363,1018,89,100,0,500,3066;
