@400000005e142b7004f662c6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e142b702ede850f #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e142be23a1dd2d4 #d,-,18,2938,2338,1283,89,0,203987,12647,2939,2339,1295,2938,2337,1252,99,100,0,500,2958;
@400000005e142be43a2d8a25 #d,-,18,2941,2339,1263,90,0,204041,12650,2941,2339,1283,2938,2336,1256,98,100,0,500,2991;
@400000005e142be43a380daa #d,-,18,2940,2339,1263,91,0,204095,12653,2941,2339,1265,2940,2339,1261,99,100,0,500,2963;
@400000005e142be63a464634 #d,-,18,2939,2339,1263,92,0,204149,12657,2940,2340,1265,2939,2338,1262,99,100,0,500,2965;
@400000005e142be63a508b54 #d,-,18,2939,2338,1262,92,0,204202,12660,2939,2340,1265,2939,2338,1262,99,100,0,500,2963;
@400000005e142be83a5db5c9 #d,-,18,2938,2338,1239,93,0,204239,12662,2939,2338,1262,2938,2337,1239,99,100,0,500,2961;
@400000005e142be83a6883d0 #d,-,18,2842,2338,1266,94,0,204251,12663,2938,2339,1268,2842,2337,1187,98,100,0,500,2881;
@400000005e142bea3a7865f8 #d,-,18,2937,2338,1264,95,0,204302,12666,2937,2338,1266,2842,2337,1262,99,100,0,500,2958;
@400000005e142bea3a82cac2 #d,-,18,2936,2339,1265,96,0,204352,12669,2937,2340,1266,2936,2338,1262,99,100,0,500,2965;
@400000005e142bec3a9168cf #d,-,18,2934,2340,1251,97,0,204383,12671,2936,2340,1265,2934,2339,1245,99,100,0,500,2951;
@400000005e142bec3a9ba58d #d,-,18,2932,2338,1295,97,0,204445,12675,2934,2340,1295,2932,2338,1251,99,100,0,500,2947;
@400000005e142bee3aa8c11b #d,-,18,2936,2338,1265,98,0,204496,12678,2936,2340,1295,2932,2338,1254,98,100,0,500,2993;
@400000005e142bee3ab38307 #d,-,18,2936,2340,1263,99,0,204542,12681,2936,2341,1265,2936,2338,1261,99,100,0,500,2961;
@400000005e142bf03ac3de41 #d,-,18,2936,2340,1264,100,0,204749,12694,2936,2341,1264,2936,2340,1261,99,100,0,500,2965;
@400000005e142bf03acec391 #d,-,18,2935,2339,1262,101,0,204634,12687,2936,2340,1264,2935,2338,1262,99,100,0,500,2963;
@400000005e142bf23add4e10 #d,-,18,2935,2338,1291,101,0,204686,12690,2935,2339,1291,2935,2337,1260,99,100,0,500,2961;
@400000005e142bf23ae796e9 #d,-,18,2939,2340,1265,102,0,204738,12693,2939,2340,1296,2935,2338,1256,98,100,0,500,2997;
@400000005e142bf43af71fa8 #d,-,18,2938,2342,1259,103,0,204780,12696,2939,2344,1265,2938,2340,1258,99,100,0,500,2959;
@400000005e142bf43b021ffa #d,-,18,2937,2341,1262,104,0,204823,12699,2938,2342,1263,2937,2340,1259,99,100,0,500,2963;
@400000005e142bf63b1012ab #d,-,18,2937,2342,1262,105,0,204864,12701,2937,2342,1263,2937,2340,1260,99,100,0,500,2965;
@400000005e142bf63b1a8dcf #d,-,18,2937,2342,1281,105,0,204910,12704,2937,2342,1281,2937,2341,1259,99,100,0,500,2961;
@400000005e142bf83b2b04f9 #d,-,18,2940,2343,1264,106,0,204960,12707,2940,2343,1293,2937,2341,1254,98,100,0,500,2993;
@400000005e142bf83b354571 #d,-,18,2939,2343,1261,107,0,204999,12709,2940,2344,1264,2939,2342,1258,99,100,0,500,2959;
@400000005e142bfa3b431d20 #d,-,18,2938,2343,1260,108,0,205037,12712,2939,2343,1261,2938,2342,1259,99,100,0,500,2961;
@400000005e142bfa3b4e7320 #d,-,18,2937,2345,1258,109,0,205076,12714,2938,2346,1262,2937,2342,1257,99,100,0,500,2965;
@400000005e142bfc3b5ed214 #d,-,18,2937,2347,1269,109,0,205115,12717,2937,2347,1269,2937,2345,1258,99,100,0,500,2961;
@400000005e142bfc3b69a3d4 #d,-,18,2940,2344,1259,110,0,205165,12720,2940,2347,1291,2937,2344,1253,98,100,0,500,2993;
@400000005e142bfe3b794023 #d,-,18,2939,2344,1260,111,0,205201,12722,2940,2344,1261,2939,2343,1259,99,100,0,500,2961;
@400000005e142bfe3b83bb47 #d,-,18,2938,2344,1259,112,0,205239,12724,2939,2345,1262,2938,2344,1259,99,100,0,500,2965;
@400000005e142c003b91dc88 #d,-,18,2937,2343,1259,113,0,205273,12726,2938,2344,1261,2937,2343,1259,99,100,0,500,2961;
@400000005e142c0100024259 #d,-,18,2937,2345,1260,113,0,205451,12738,2937,2345,1262,2937,2343,1258,99,100,0,500,2963;
@400000005e142c03001299da #d,-,18,2940,2346,1256,114,0,205356,12732,2940,2346,1291,2937,2345,1250,98,100,0,500,2988;
@400000005e142c03001d34a8 #d,-,18,2939,2343,1260,115,0,205392,12734,2940,2346,1262,2939,2343,1256,99,100,0,500,2967;
@400000005e142c05002c3bf3 #d,-,18,2938,2343,1259,116,0,205564,12744,2939,2344,1260,2938,2342,1258,99,100,0,500,2963;
@400000005e142c050036abea #d,-,18,2938,2343,1260,117,0,205596,12747,2938,2344,1263,2938,2341,1259,99,100,0,500,2963;
@400000005e142c070046ffb0 #d,-,18,2937,2341,1261,118,0,205490,12740,2938,2343,1263,2937,2341,1259,99,100,0,500,2963;
@400000005e142c070051488a #d,-,18,2940,2342,1254,118,0,205536,12743,2940,2342,1296,2937,2340,1253,98,100,0,500,2981;
@400000005e142c09005e8b36 #d,-,18,2940,2343,1260,119,0,205569,12745,2940,2344,1263,2940,2341,1254,98,100,0,500,2975;
@400000005e142c090069743f #d,-,18,2939,2342,1262,120,0,205601,12747,2940,2344,1262,2939,2341,1259,99,100,0,500,2965;
@400000005e142c0b0079d332 #d,-,18,2938,2343,1260,121,0,205631,12749,2939,2343,1262,2938,2341,1259,99,100,0,500,2965;
@400000005e142c0b00844b8b #d,-,18,2937,2342,1262,122,0,205661,12751,2938,2343,1262,2937,2342,1259,99,100,0,500,2959;
@400000005e142c0d0094e8e5 #d,-,18,2939,2343,1253,123,0,205706,12753,2939,2343,1293,2937,2340,1253,98,100,0,500,2975;
@400000005e142c0d009f4193 #d,-,18,2940,2345,1260,123,0,205735,12755,2940,2346,1262,2939,2342,1252,98,100,0,500,2981;
@400000005e142c0f00ae3550 #d,-,18,2939,2343,1261,124,0,205765,12757,2940,2345,1262,2939,2343,1258,99,100,0,500,2965;
@400000005e142c0f00b91e59 #d,-,18,2938,2344,1257,125,0,205924,12767,2939,2346,1262,2938,2343,1256,99,100,0,500,2965;
@400000005e142c1100c7c10f #d,-,18,2937,2346,1259,126,0,205950,12768,2938,2346,1259,2937,2343,1256,99,100,0,500,2959;
@400000005e142c1100d25f97 #d,-,18,2937,2345,1258,127,0,205862,12763,2937,2346,1293,2937,2344,1254,99,100,0,500,2963;
@400000005e142c1300e09bdb #d,-,18,2939,2342,1259,127,0,206016,12772,2939,2345,1262,2937,2342,1252,98,100,0,500,2986;
@400000005e142c1300eae0fa #d,-,18,2938,2343,1259,128,0,206042,12774,2939,2343,1261,2938,2342,1258,99,100,0,500,2963;
@400000005e142c1500f97795 #d,-,18,2937,2344,1259,129,0,206067,12776,2938,2344,1260,2937,2342,1257,99,100,0,500,2959;
@400000005e142c15010419d6 #d,-,18,2937,2345,1260,130,0,205966,12769,2937,2346,1260,2937,2344,1258,99,100,0,500,2961;
@400000005e142c170112720b #d,-,18,2936,2346,1269,131,0,206007,12772,2937,2346,1292,2936,2345,1258,99,100,0,500,2961;
@400000005e142c17011cf94a #d,-,18,2939,2344,1260,131,0,206030,12773,2939,2346,1269,2936,2344,1251,98,100,0,500,2990;
@400000005e142c19012cd3fe #d,-,18,2938,2345,1260,132,0,206055,12775,2939,2345,1261,2938,2344,1256,99,100,0,500,2963;
@400000005e142c1901372bbe #d,-,18,2937,2345,1260,133,0,206080,12777,2938,2345,1261,2937,2343,1257,99,100,0,500,2961;
@400000005e142c1b01472d90 #d,-,18,2936,2346,1260,134,0,206104,12778,2937,2346,1261,2936,2345,1257,99,100,0,500,2961;
@400000005e142c1b0151d47a #d,-,18,2936,2345,1282,135,0,206142,12780,2936,2346,1292,2936,2344,1257,99,100,0,500,2963;
@400000005e142c1d01611ed3 #d,-,18,2939,2342,1262,135,0,206166,12782,2939,2345,1282,2936,2342,1251,98,100,0,500,2990;
@400000005e142c1d016b99f7 #d,-,18,2938,2344,1259,136,0,206189,12783,2939,2344,1262,2938,2342,1259,99,100,0,499,2965;
@400000005e142c1f017bd675 #d,-,18,2937,2344,1258,137,0,206213,12785,2938,2345,1261,2937,2343,1257,99,100,0,499,2961;
@400000005e142c1f01869861 #d,-,18,2937,2348,1257,138,0,206235,12786,2937,2349,1259,2937,2343,1256,99,100,0,499,2963;
@400000005e142c2101961c78 #d,-,18,2936,2348,1289,139,0,206269,12788,2937,2348,1289,2936,2347,1255,99,100,0,500,2959;
@400000005e142c2101a06198 #d,-,18,2939,2345,1260,140,0,206292,12790,2939,2348,1289,2936,2344,1249,98,100,0,500,2991;
@400000005e142c2301aff672 #d,-,18,2938,2345,1260,140,0,206314,12791,2939,2345,1260,2938,2344,1257,99,100,0,500,2959;
@400000005e142c2301bade8d #d,-,18,2937,2347,1257,141,0,206451,12800,2938,2347,1260,2937,2344,1256,99,100,0,500,2963;
@400000005e142c2501c978e1 #d,-,18,2936,2346,1260,142,0,206357,12794,2937,2347,1261,2936,2345,1255,99,100,0,500,2958;
@400000005e142c2501d40c3c #d,-,18,2935,2345,1290,143,0,206387,12795,2936,2346,1290,2935,2344,1256,99,100,0,500,2963;
@400000005e142c2701e1fa45 #d,-,18,2939,2345,1259,144,0,206410,12797,2939,2346,1290,2935,2344,1250,98,100,0,500,2991;
@400000005e142c2701ec4f3a #d,-,18,2938,2344,1258,144,0,206431,12798,2939,2345,1261,2938,2343,1258,99,100,0,500,2959;
@400000005e142c2901f85da1 #d,-,18,2933,2345,1225,145,0,206418,12797,2938,2346,1258,2933,2343,1202,99,100,0,500,2942;
@400000005e142c2902005091 #d,-,18,2830,2343,1208,146,0,206397,12796,2933,2345,1225,2830,2343,1208,98,100,0,500,2860;
@400000005e142c2b020ac7fc #d,-,18,2829,2345,1267,147,0,206398,12796,2830,2345,1267,2829,2343,1207,99,100,0,500,2854;
@400000005e142c2b0211d4e3 #d,-,18,2914,2344,1237,148,0,206400,12796,2914,2345,1268,2829,2343,1227,98,100,0,500,2945;
@400000005e142c2d0220348b #d,-,18,2908,2346,1236,148,0,206399,12796,2914,2346,1238,2908,2343,1233,100,100,0,500,2908;
@400000005e142c2d022a94ad #d,-,18,2906,2346,1246,149,0,206516,12804,2908,2346,1248,2906,2345,1235,99,100,0,500,2915;
@400000005e142c2f02389aec #d,-,18,2907,2343,1250,150,0,206426,12798,2907,2346,1276,2906,2342,1245,98,100,0,500,2938;
