@400000005e255b3d062ebb56 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e255b3d3017e353 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e255bc801b5875f #d,-,18,3740,2353,1587,126,0,238961,14815,3742,2354,1604,3740,2351,1579,99,100,0,500,3755;
@400000005e255bc801c0889f #d,-,18,3739,2351,1599,127,0,239173,14828,3740,2354,1604,3739,2351,1578,99,100,0,500,3755;
@400000005e255bca01d0b548 #d,-,18,3739,2351,1604,128,0,239382,14841,3739,2352,1605,3739,2351,1581,99,100,0,500,3757;
@400000005e255bca01dbf046 #d,-,18,3740,2352,1599,129,0,239602,14855,3740,2353,1624,3739,2350,1582,99,100,0,500,3766;
@400000005e255bcc01ed22a3 #d,-,18,3741,2351,1585,130,0,239801,14867,3741,2353,1607,3740,2350,1574,98,100,0,500,3782;
@400000005e255bcc01f83a3d #d,-,18,3740,2350,1588,131,0,239999,14879,3741,2351,1607,3740,2349,1580,99,100,0,500,3755;
@400000005e255bce020950a9 #d,-,18,3739,2350,1602,132,0,240196,14892,3740,2351,1605,3739,2349,1580,99,100,0,500,3757;
@400000005e255bce021445ce #d,-,18,3738,2350,1606,133,0,240557,14914,3739,2351,1607,3738,2350,1579,99,100,0,500,3757;
@400000005e255bd00225af1d #d,-,18,3738,2351,1612,134,0,240594,14916,3738,2351,1629,3738,2349,1580,99,100,0,500,3758;
@400000005e255bd002306c61 #d,-,18,3740,2354,1583,135,0,240942,14938,3740,2354,1612,3738,2351,1575,98,100,0,500,3782;
@400000005e255bd202419ebd #d,-,18,3739,2351,1581,136,0,241123,14949,3740,2354,1605,3739,2351,1577,99,100,0,500,3755;
@400000005e255bd2024cc62d #d,-,18,3738,2351,1598,137,0,241141,14950,3739,2352,1606,3738,2350,1579,99,100,0,500,3753;
@400000005e255bd4025e2bc2 #d,-,18,3738,2352,1604,138,0,241322,14961,3738,2353,1605,3738,2351,1578,99,100,0,500,3757;
@400000005e255bd40268fd83 #d,-,18,3737,2351,1625,139,0,241513,14973,3738,2353,1632,3737,2351,1579,99,100,0,500,3758;
@400000005e255bd60279169d #d,-,18,3740,2351,1588,140,0,241685,14984,3740,2351,1625,3737,2350,1580,98,100,0,500,3785;
@400000005e255bd602845555 #d,-,18,3738,2352,1580,141,0,241857,14995,3740,2353,1606,3738,2351,1579,99,100,0,500,3755;
@400000005e255bd80294b08f #d,-,18,3738,2351,1596,142,0,242028,15005,3738,2352,1605,3738,2351,1579,99,100,0,500,3755;
@400000005e255bd8029fc0b6 #d,-,18,3737,2351,1603,143,0,242197,15016,3738,2352,1605,3737,2350,1580,99,100,0,500,3755;
@400000005e255bda02afe144 #d,-,18,3737,2352,1632,144,0,242376,15027,3737,2353,1634,3737,2351,1579,99,100,0,500,3758;
@400000005e255bda02bab305 #d,-,18,3740,2352,1590,145,0,242538,15037,3740,2353,1632,3737,2351,1576,98,100,0,500,3785;
@400000005e255bdc02cb7008 #d,-,18,3738,2352,1578,146,0,242697,15047,3740,2354,1603,3738,2351,1577,99,100,0,500,3753;
@400000005e255bdc02d631f4 #d,-,18,3737,2351,1593,147,0,243011,15066,3738,2353,1605,3737,2350,1578,99,100,0,500,3753;
@400000005e255bde02e777e0 #d,-,18,3736,2353,1602,148,0,243016,15066,3737,2353,1604,3736,2350,1578,99,100,0,500,3753;
@400000005e255bde02f13c79 #d,-,18,3736,2352,1632,149,0,243332,15086,3736,2354,1632,3736,2352,1578,99,100,0,500,3757;
@400000005e255be0030076fe #d,-,18,3739,2352,1595,150,0,243336,15086,3739,2354,1632,3736,2352,1572,98,100,0,500,3787;
@400000005e255be0030b774f #d,-,18,3738,2354,1578,151,0,243485,15096,3739,2355,1604,3738,2352,1578,99,100,0,500,3753;
@400000005e255be2031ccc22 #d,-,18,3736,2354,1589,152,0,243635,15105,3738,2354,1603,3736,2352,1578,99,100,0,500,3753;
@400000005e255be203290560 #d,-,18,3736,2352,1604,153,0,243784,15114,3736,2355,1604,3736,2352,1577,99,100,0,500,3753;
@400000005e255be4033977e2 #d,-,18,3736,2352,1626,155,0,243935,15123,3736,2353,1626,3736,2351,1577,99,100,0,500,3757;
@400000005e255be4034572bb #d,-,18,3739,2354,1595,156,0,244085,15133,3739,2355,1626,3736,2352,1572,98,100,0,500,3787;
@400000005e255be60357418e #d,-,18,3737,2353,1579,157,0,244225,15141,3739,2354,1603,3737,2352,1577,99,100,0,500,3753;
@400000005e255be603624599 #d,-,18,3736,2354,1586,158,0,244366,15150,3737,2354,1603,3736,2352,1577,99,100,0,500,3751;
@400000005e255be80373e133 #d,-,18,3736,2353,1600,159,0,244506,15159,3736,2354,1605,3736,2352,1578,99,100,0,500,3755;
@400000005e255be8037e9bab #d,-,18,3735,2352,1617,160,0,244791,15177,3736,2353,1617,3735,2352,1578,99,100,0,500,3757;
@400000005e255bea038e89ee #d,-,18,3739,2353,1597,161,1,244934,15185,3739,2355,1626,3735,2351,1571,98,100,0,500,3787;
@400000005e255bea03994bda #d,-,18,3737,2351,1583,162,1,244924,15185,3739,2354,1605,3737,2351,1579,99,100,0,500,3755;
@400000005e255bec03aa2c42 #d,-,18,3736,2354,1584,163,1,245055,15193,3737,2354,1604,3736,2350,1579,99,100,0,500,3755;
@400000005e255bec03b54f09 #d,-,18,3736,2353,1598,164,1,245188,15201,3736,2355,1604,3736,2353,1577,99,100,0,500,3753;
@400000005e255bee03c6a4ca #d,-,18,3736,2353,1605,165,1,245319,15209,3736,2354,1605,3736,2351,1577,99,100,0,500,3757;
@400000005e255bee03d1b137 #d,-,18,3739,2354,1597,166,1,245457,15218,3739,2355,1628,3736,2352,1575,98,100,0,500,3780;
@400000005e255bf003e2fe96 #d,-,18,3738,2354,1583,167,1,245581,15226,3739,2355,1603,3738,2353,1575,99,100,0,500,3760;
@400000005e255bf003edf3ba #d,-,18,3736,2355,1578,168,1,245705,15233,3738,2356,1604,3736,2353,1577,99,100,0,500,3753;
@400000005e255bf203fdd5e2 #d,-,18,3735,2355,1596,169,1,245831,15241,3736,2355,1603,3735,2355,1577,99,100,0,500,3753;
@400000005e255bf20408b68a #d,-,18,3735,2354,1602,170,1,246091,15257,3735,2355,1604,3735,2353,1575,99,100,0,500,3755;
@400000005e255bf40418341c #d,-,18,3739,2356,1595,171,1,246222,15265,3739,2356,1631,3735,2353,1581,98,100,0,500,3778;
@400000005e255bf404213c95 #d,-,18,3738,2356,1586,172,1,246340,15273,3739,2356,1603,3738,2355,1576,99,100,0,500,3764;
@400000005e255bf6042bbb73 #d,-,18,3736,2353,1564,173,1,246455,15280,3738,2356,1603,3736,2352,1564,99,100,0,500,3757;
@400000005e255bf60431746b #d,-,18,3742,2353,1180,174,1,246386,15275,3742,2354,1675,3736,2346,1180,98,100,0,500,3789;
@400000005e255bf8043d66e2 #d,-,18,3093,2354,1191,175,1,246265,15268,3742,2355,1208,3093,2352,1162,95,100,0,500,3241;
@400000005e255bf80444ecdb #d,-,18,2791,2353,1182,176,1,245887,15244,3093,2354,1219,2791,2352,1182,98,100,0,500,2821;
@400000005e255bfa04510670 #d,-,18,2792,2353,1063,176,1,245570,15225,2792,2353,1334,2791,2351,1018,97,100,0,500,2860;
@400000005e255bfa045bd0bd #d,-,18,2487,2354,1143,177,1,245268,15206,2792,2355,1173,2487,2351,1056,98,100,0,500,2534;
@400000005e255bfc046adbc2 #d,-,18,2722,2354,1163,178,1,245017,15191,2722,2355,1214,2487,2353,1143,99,100,0,500,2749;
