@400000005e22b91826dc7c68 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e22b9191522c7ca #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b98f203c07ed #d,-,18,2944,2349,1266,91,0,203797,12635,2944,2350,1308,2942,2347,1244,98,99,0,500,2993;
@400000005e22b98f20423550 #d,-,18,2942,2352,1237,92,0,203842,12638,2944,2352,1277,2942,2349,1232,99,99,0,500,2954;
@400000005e22b991204b0f38 #d,-,18,2941,2352,1277,93,0,204074,12652,2942,2352,1280,2941,2351,1232,99,99,0,500,2968;
@400000005e22b9912054f28e #d,-,18,2939,2352,1232,94,0,204117,12655,2941,2352,1279,2939,2351,1231,99,99,0,500,2949;
@400000005e22b993205d993d #d,-,18,2939,2352,1278,95,0,204171,12658,2939,2353,1278,2939,2352,1230,98,99,0,500,2972;
@400000005e22b9932066cc8e #d,-,18,2939,2353,1229,95,0,204231,12662,2939,2353,1291,2939,2352,1229,99,99,0,500,2965;
@400000005e22b9952077cca0 #d,-,18,2940,2354,1270,96,0,204279,12665,2940,2354,1279,2939,2353,1227,98,99,0,500,2975;
@400000005e22b9952082095e #d,-,18,2936,2351,1244,97,0,204327,12668,2940,2354,1278,2936,2351,1230,99,99,0,500,2952;
@400000005e22b997208ab3c7 #d,-,18,2937,2351,1257,98,0,204367,12670,2937,2352,1277,2936,2351,1231,99,99,0,500,2961;
@400000005e22b99720914ffd #d,-,18,2934,2353,1256,99,0,204256,12663,2937,2354,1279,2934,2351,1229,99,99,0,500,2959;
@400000005e22b999209eec11 #d,-,18,2937,2355,1237,99,0,204311,12667,2937,2355,1309,2934,2352,1228,99,99,0,500,2965;
@400000005e22b99920aa173a #d,-,18,2937,2354,1268,100,0,204361,12670,2937,2355,1277,2937,2354,1231,98,99,0,500,2981;
@400000005e22b99b20bae413 #d,-,18,2935,2353,1230,101,0,204395,12672,2937,2354,1276,2935,2353,1227,99,99,0,500,2949;
@400000005e22b99b20c563df #d,-,18,2935,2351,1277,102,0,204444,12675,2935,2354,1277,2935,2351,1230,98,99,0,500,2967;
@400000005e22b99d20d55995 #d,-,18,2932,2353,1230,103,0,204480,12677,2935,2353,1278,2932,2351,1230,99,99,0,500,2945;
@400000005e22b99d20dfa26f #d,-,18,2935,2352,1271,103,0,204541,12681,2935,2353,1289,2932,2352,1230,98,99,0,500,2974;
@400000005e22b99f20ec9326 #d,-,18,2934,2351,1237,104,0,204578,12683,2935,2353,1279,2934,2351,1229,98,99,0,500,2967;
@400000005e22b99f20f77fe9 #d,-,18,2935,2351,1267,105,0,204617,12686,2935,2351,1279,2934,2350,1231,98,99,0,500,2965;
@400000005e22b9a1210602f4 #d,-,18,2932,2348,1246,106,0,204659,12688,2935,2351,1279,2932,2348,1233,99,99,0,500,2952;
@400000005e22b9a121108ded #d,-,18,2933,2348,1256,107,0,204693,12690,2933,2349,1280,2932,2347,1231,99,99,0,500,2959;
@400000005e22b9a321215265 #d,-,18,2932,2349,1268,107,0,204755,12694,2933,2349,1308,2932,2348,1244,99,99,0,500,2959;
@400000005e22b9a3212ba3a0 #d,-,18,2934,2350,1242,108,0,204782,12696,2934,2350,1281,2932,2348,1223,98,99,0,500,2977;
@400000005e22b9a5213b661d #d,-,18,2933,2350,1272,109,0,204827,12699,2934,2350,1281,2933,2349,1231,98,99,0,500,2967;
@400000005e22b9a521466ed1 #d,-,18,2932,2348,1233,110,0,204856,12701,2933,2350,1278,2932,2348,1230,99,99,0,500,2947;
@400000005e22b9a7214fa5db #d,-,18,2932,2348,1278,111,0,204897,12703,2932,2349,1278,2932,2348,1230,98,99,0,500,2968;
@400000005e22b9a721591880 #d,-,18,2930,2348,1252,112,0,204943,12706,2932,2350,1305,2930,2348,1229,99,99,0,500,2942;
@400000005e22b9a92168b026 #d,-,18,2934,2350,1275,112,0,204977,12708,2934,2350,1275,2930,2348,1233,98,99,0,500,2993;
@400000005e22b9a92173b431 #d,-,18,2932,2351,1237,113,0,205010,12710,2934,2351,1278,2932,2349,1229,99,99,0,500,2947;
@400000005e22b9ab217cec2a #d,-,18,2933,2350,1264,114,0,205041,12712,2933,2351,1277,2932,2350,1230,98,99,0,500,2963;
@400000005e22b9ab21875fdb #d,-,18,2930,2351,1246,115,0,205078,12714,2933,2352,1278,2930,2350,1231,99,99,0,500,2952;
@400000005e22b9ad2194c9a4 #d,-,18,2931,2352,1284,116,0,205121,12717,2931,2352,1284,2930,2351,1230,99,99,0,500,2958;
@400000005e22b9ad219fe4f8 #d,-,18,2934,2350,1260,116,0,205159,12719,2934,2352,1292,2931,2349,1226,98,99,0,500,2988;
@400000005e22b9af21a93f66 #d,-,18,2933,2351,1240,117,0,205183,12721,2934,2351,1278,2933,2350,1230,99,99,0,500,2951;
@400000005e22b9af21b24b99 #d,-,18,2932,2351,1272,118,0,205221,12723,2933,2351,1278,2932,2350,1230,98,99,0,500,2965;
@400000005e22b9b121bb2581 #d,-,18,2931,2351,1230,119,0,205246,12725,2932,2352,1278,2931,2351,1229,99,99,0,500,2947;
@400000005e22b9b121c54384 #d,-,18,2931,2351,1309,120,0,205292,12728,2931,2352,1309,2931,2351,1230,98,99,0,500,2967;
@400000005e22b9b321d09e2c #d,-,18,2933,2351,1234,120,0,205321,12729,2933,2352,1309,2931,2351,1226,98,99,0,500,2974;
@400000005e22b9b321dbcd0f #d,-,18,2934,2351,1273,121,0,205352,12731,2934,2352,1274,2933,2351,1230,98,99,0,500,2967;
@400000005e22b9b521ec14ba #d,-,18,2931,2351,1238,122,0,205381,12733,2934,2352,1278,2931,2350,1230,99,99,0,500,2945;
@400000005e22b9b521f6a0a1 #d,-,18,2932,2353,1264,123,0,205407,12735,2932,2353,1276,2931,2350,1229,98,99,0,500,2963;
@400000005e22b9b721ffa0b9 #d,-,18,2930,2350,1277,124,0,205446,12737,2932,2353,1288,2930,2346,1232,99,99,0,500,2951;
@400000005e22b9b722065349 #d,-,18,2934,2350,1253,124,0,205473,12739,2934,2351,1277,2930,2349,1231,98,99,0,500,2986;
@400000005e22b9b922171c69 #d,-,18,2932,2348,1265,125,0,205506,12741,2934,2350,1280,2932,2348,1230,99,99,0,500,2956;
@400000005e22b9b9222194c1 #d,-,18,2931,2350,1238,126,0,205525,12742,2932,2351,1278,2931,2348,1230,99,99,0,500,2949;
@400000005e22b9bb22314fcb #d,-,18,2930,2351,1275,127,0,205558,12744,2931,2351,1279,2930,2350,1230,98,99,0,500,2963;
@400000005e22b9bb223ba87a #d,-,18,2929,2349,1249,128,0,205580,12745,2930,2352,1277,2929,2349,1227,99,99,0,500,2942;
@400000005e22b9bd2247e92c #d,-,18,2934,2350,1279,129,0,205619,12748,2934,2350,1304,2929,2349,1222,97,99,0,500,2995;
@400000005e22b9bd2253047f #d,-,18,2930,2349,1232,129,0,205641,12749,2934,2350,1280,2930,2349,1229,99,99,0,500,2940;
@400000005e22b9bf2260d013 #d,-,18,2931,2351,1269,130,0,205665,12751,2931,2351,1277,2930,2349,1229,98,99,0,500,2961;
@400000005e22b9bf226b1444 #d,-,18,2928,2350,1242,131,0,205814,12760,2931,2351,1276,2928,2350,1230,99,99,0,500,2947;
@400000005e22b9c12273de57 #d,-,18,2929,2349,1269,132,0,205713,12754,2929,2351,1278,2928,2349,1229,99,99,0,500,2958;
@400000005e22b9c1227eeac4 #d,-,18,2932,2348,1253,133,0,205751,12756,2932,2349,1305,2929,2348,1243,98,99,0,500,2983;
@400000005e22b9c32287e811 #d,-,18,2931,2347,1248,133,0,205769,12757,2932,2349,1277,2931,2347,1231,99,99,0,500,2951;
