@400000005e6744412738312f #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e6744421582c699 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6744c821fdd3b8 #d,-,18,3783,2348,1616,127,0,249838,15489,3783,2349,1618,3783,2348,1613,99,100,0,500,3803;
@400000005e6744c8220828ac #d,-,18,3785,2347,1611,128,0,250014,15500,3785,2349,1647,3783,2347,1611,99,100,0,500,3819;
@400000005e6744ca221835ab #d,-,18,3785,2347,1614,129,0,250171,15510,3785,2348,1618,3785,2347,1611,99,100,0,500,3815;
@400000005e6744ca222228d6 #d,-,18,3784,2348,1617,130,0,250326,15520,3785,2349,1619,3784,2347,1612,99,100,0,500,3799;
@400000005e6744cc22322aa8 #d,-,18,3783,2348,1617,131,0,250476,15529,3784,2349,1617,3783,2348,1611,99,100,0,500,3801;
@400000005e6744cc223b8c89 #d,-,18,3782,2347,1618,132,0,250626,15538,3783,2349,1618,3782,2346,1614,99,100,0,500,3799;
@400000005e6744ce224a78d2 #d,-,18,3785,2347,1606,133,0,250788,15548,3785,2348,1647,3782,2346,1606,99,100,0,500,3817;
@400000005e6744ce2255175a #d,-,18,3785,2347,1616,135,0,250934,15557,3785,2348,1618,3785,2346,1605,99,100,0,500,3814;
@400000005e6744d02264e328 #d,-,18,3784,2347,1613,136,0,251077,15566,3785,2348,1617,3784,2347,1612,99,100,0,500,3805;
@400000005e6744d0226e7842 #d,-,18,3783,2348,1616,137,0,251220,15575,3784,2348,1618,3783,2346,1613,99,100,0,500,3801;
@400000005e6744d2227f020d #d,-,18,3783,2348,1614,138,0,251360,15584,3783,2348,1617,3783,2348,1614,99,100,0,500,3801;
@400000005e6744d222888fb4 #d,-,18,3783,2348,1614,139,0,251688,15604,3783,2349,1647,3783,2348,1613,99,100,0,500,3807;
@400000005e6744d422977843 #d,-,18,3784,2346,1615,140,0,251648,15602,3784,2349,1618,3783,2346,1607,98,100,0,500,3823;
@400000005e6744d422a1e83a #d,-,18,3783,2347,1616,141,0,251952,15621,3784,2347,1617,3783,2346,1610,99,100,0,500,3801;
@400000005e6744d622b1da37 #d,-,18,3783,2347,1613,142,0,252084,15629,3783,2348,1617,3783,2347,1613,99,100,0,500,3803;
@400000005e6744d622bb4fa7 #d,-,18,3783,2349,1616,143,0,252043,15626,3783,2350,1617,3783,2347,1613,99,100,0,500,3801;
@400000005e6744d822cb6c7b #d,-,18,3782,2348,1629,144,0,252187,15635,3783,2350,1646,3782,2348,1613,99,100,0,500,3801;
@400000005e6744d822d4f669 #d,-,18,3785,2347,1614,145,0,252480,15653,3785,2348,1629,3782,2346,1609,98,100,0,500,3830;
@400000005e6744da22e299f0 #d,-,18,3784,2347,1616,146,0,252602,15661,3785,2348,1616,3784,2347,1612,99,100,0,500,3798;
@400000005e6744da22eb2957 #d,-,18,3783,2348,1613,147,0,252557,15658,3784,2349,1616,3783,2347,1612,99,100,0,500,3799;
@400000005e6744dc22fa48d9 #d,-,18,3781,2350,1615,148,0,252678,15666,3783,2351,1617,3781,2348,1607,99,100,0,500,3799;
@400000005e6744dc2305359c #d,-,18,3781,2350,1641,149,0,252813,15674,3781,2351,1647,3781,2350,1611,99,100,0,500,3801;
@400000005e6744de231619bd #d,-,18,3784,2349,1616,150,0,252929,15681,3784,2351,1641,3781,2348,1605,98,100,0,500,3828;
@400000005e6744de2320a0fd #d,-,18,3783,2348,1556,151,0,253015,15686,3784,2349,1616,3783,2348,1554,99,100,0,500,3801;
@400000005e6744e023315a47 #d,-,18,3642,2351,1551,152,0,253065,15690,3783,2351,1558,3642,2348,1551,99,100,0,500,3678;
@400000005e6744e0233c62fa #d,-,18,3642,2350,1632,153,0,253161,15696,3642,2352,1640,3642,2350,1549,99,100,0,500,3664;
@400000005e6744e2234cf8e1 #d,-,18,3817,2349,1668,154,0,253306,15705,3817,2351,1668,3642,2348,1627,99,100,0,500,3828;
@400000005e6744e22358240a #d,-,18,3822,2349,1651,155,0,253444,15713,3822,2349,1668,3817,2348,1627,98,100,0,500,3883;
@400000005e6744e42369fef8 #d,-,18,3824,2349,1606,157,0,253563,15720,3824,2350,1654,3822,2349,1598,98,100,0,500,3867;
@400000005e6744e42374f32f #d,-,18,3755,2347,1609,158,0,253665,15727,3824,2349,1613,3755,2347,1606,99,100,0,500,3783;
@400000005e6744e623866c53 #d,-,18,3756,2348,1610,159,0,253769,15733,3756,2349,1614,3755,2347,1607,99,100,0,500,3789;
@400000005e6744e62391546e #d,-,18,3757,2349,1641,160,0,253878,15740,3757,2350,1641,3756,2348,1606,99,100,0,500,3791;
@400000005e6744e823a286cb #d,-,18,3762,2350,1614,161,0,254135,15756,3762,2350,1642,3757,2349,1600,98,100,0,500,3819;
@400000005e6744e823ad60ed #d,-,18,3762,2348,1613,162,1,254232,15762,3762,2351,1614,3762,2347,1604,99,100,0,500,3789;
@400000005e6744ea23beecb2 #d,-,18,3762,2347,1610,163,1,254329,15768,3762,2348,1615,3762,2347,1608,99,100,0,500,3787;
@400000005e6744ea23c9800d #d,-,18,3763,2347,1608,164,1,254424,15774,3763,2348,1612,3762,2347,1607,99,100,0,500,3791;
@400000005e6744ec23db0f8b #d,-,18,3763,2349,1635,165,1,254372,15771,3763,2350,1635,3763,2347,1607,99,100,0,500,3789;
@400000005e6744ec23e5af01 #d,-,18,3767,2349,1610,166,1,254621,15786,3767,2349,1642,3763,2349,1600,98,100,0,500,3821;
@400000005e6744ee23f60682 #d,-,18,3766,2348,1610,167,1,254562,15782,3767,2349,1611,3766,2348,1607,99,100,0,500,3783;
@400000005e6744ee2401603c #d,-,18,3766,2348,1611,168,1,254653,15788,3766,2349,1612,3766,2348,1608,99,100,0,500,3789;
@400000005e6744f024129652 #d,-,18,3763,2350,1546,169,1,254700,15791,3766,2350,1612,3763,2348,1533,99,100,0,500,3780;
@400000005e6744f0241da2bf #d,-,18,3609,2350,1564,170,1,254731,15793,3763,2350,1564,3609,2350,1546,99,100,0,500,3634;
@400000005e6744f2242ecda8 #d,-,18,3614,2350,1543,171,1,254766,15795,3614,2350,1582,3609,2349,1533,98,100,0,500,3678;
@400000005e6744f224397c05 #d,-,18,3612,2349,1543,172,1,254789,15796,3614,2350,1544,3612,2349,1540,99,100,0,500,3629;
@400000005e6744f4244a7ee3 #d,-,18,3612,2351,1542,173,1,254811,15798,3612,2351,1544,3612,2349,1540,99,100,0,500,3630;
@400000005e6744f424552986 #d,-,18,3611,2350,1540,174,1,254832,15799,3612,2351,1542,3611,2350,1538,99,100,0,500,3632;
@400000005e6744f62466449a #d,-,18,3610,2348,1543,175,1,254853,15800,3611,2350,1543,3610,2348,1539,99,100,0,500,3625;
@400000005e6744f62470c820 #d,-,18,3613,2349,1537,176,1,254881,15802,3613,2349,1572,3610,2347,1533,98,100,0,500,3657;
@400000005e6744f824815a4c #d,-,18,3610,2350,1539,177,1,254900,15803,3613,2350,1541,3610,2347,1537,99,100,0,500,3623;
@400000005e6744f8248ca078 #d,-,18,3609,2352,1539,178,1,254918,15804,3610,2352,1540,3609,2349,1536,99,100,0,500,3625;
@400000005e6744fa249c540e #d,-,18,3608,2351,1541,179,1,254937,15806,3609,2352,1542,3608,2351,1537,99,100,0,500,3625;
@400000005e6744fa24a6dff6 #d,-,18,3607,2350,1436,180,1,254913,15804,3608,2351,1541,3607,2350,1424,99,100,0,500,3627;
@400000005e6744fc24b7a46d #d,-,18,3439,2350,1462,181,1,254878,15802,3607,2351,1507,3439,2348,1436,98,100,0,500,3477;
