@400000005e6899751cf51a25 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e6899760b444a9d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e689a0817fff405 #d,-,18,2753,2374,1274,103,0,184843,11460,2753,2374,1299,2559,2371,1219,92,100,0,500,2986;
@400000005e689a0a180f02c4 #d,-,18,2747,2374,1166,104,0,184723,11452,2753,2375,1274,2747,2373,1119,91,100,0,500,2998;
@400000005e689a0a181849a3 #d,-,18,2581,2373,1226,104,0,184718,11452,2747,2375,1226,2581,2373,1128,90,100,0,500,2843;
@400000005e689a0c1826672b #d,-,18,2585,2373,1267,105,0,184813,11458,2585,2373,1299,2581,2372,1197,90,100,0,500,2860;
@400000005e689a0c18302363 #d,-,18,2838,2374,1218,106,0,184867,11461,2838,2374,1281,2585,2372,1118,92,100,0,500,3076;
@400000005e689a0e183f5a2e #d,-,18,2573,2374,1150,107,0,184844,11460,2838,2375,1218,2573,2374,1127,90,100,0,500,2858;
@400000005e689a0e1848d800 #d,-,18,2573,2374,1277,107,0,184926,11465,2573,2375,1301,2573,2374,1150,90,100,0,500,2836;
@400000005e689a101857bbe7 #d,-,18,2811,2374,1149,108,0,185006,11470,2811,2375,1280,2573,2374,1149,92,100,0,500,3033;
@400000005e689a101860ff0d #d,-,18,2657,2374,1181,109,0,185025,11471,2811,2375,1221,2657,2374,1128,90,100,0,500,2931;
@400000005e689a12186d534e #d,-,18,2545,2375,1123,109,0,184958,11467,2657,2375,1181,2545,2374,1118,89,100,0,500,2832;
@400000005e689a121876869e #d,-,18,2421,2375,1120,110,0,184888,11463,2545,2375,1125,2421,2375,1116,89,100,0,500,2706;
@400000005e689a1418844e78 #d,-,18,2421,2374,1124,111,0,184818,11458,2421,2376,1124,2421,2374,1120,89,100,0,500,2706;
@400000005e689a14188d471c #d,-,18,2422,2373,1121,112,0,184750,11454,2422,2374,1125,2421,2373,1119,89,100,0,500,2706;
@400000005e689a16189b8bc2 #d,-,18,2422,2372,1122,112,0,184681,11450,2422,2374,1125,2422,2372,1120,89,100,0,500,2706;
@400000005e689a1618a4af3d #d,-,18,2422,2375,1124,113,0,184616,11446,2422,2375,1127,2422,2372,1121,89,100,0,500,2711;
@400000005e689a1818b2a1ee #d,-,18,2423,2369,1121,114,0,184549,11442,2423,2375,1125,2422,2367,1119,89,100,0,500,2708;
@400000005e689a1818bc0feb #d,-,18,2423,2369,1122,114,0,184484,11438,2423,2371,1125,2423,2368,1119,89,100,0,500,2706;
@400000005e689a1a18cb51e2 #d,-,18,2423,2367,1121,115,0,184418,11433,2423,2369,1124,2423,2367,1120,89,100,0,500,2701;
@400000005e689a1a18d5e53d #d,-,18,2487,2369,1284,116,0,184567,11443,2487,2370,1284,2423,2366,1121,90,100,0,500,2737;
@400000005e689a1c18e605cb #d,-,18,2779,2369,1259,116,0,184688,11450,2779,2369,1314,2487,2368,1259,92,100,0,500,3014;
@400000005e689a1c18f06233 #d,-,18,2779,2370,1194,117,0,184625,11446,2779,2370,1269,2779,2368,1194,91,100,0,500,3028;
@400000005e689a1e1900c215 #d,-,18,2585,2369,1198,118,0,184628,11446,2779,2370,1233,2585,2369,1126,89,100,0,500,2881;
@400000005e689a1e190acb9a #d,-,18,2723,2370,1278,119,0,184844,11460,2723,2370,1302,2585,2369,1197,92,100,0,500,2936;
@400000005e689a20191ae0fa #d,-,18,2781,2369,1192,119,0,184870,11461,2781,2370,1278,2723,2368,1126,91,100,0,500,3045;
@400000005e689a2019257bc8 #d,-,18,2563,2368,1198,120,0,184743,11454,2781,2370,1198,2563,2368,1129,90,100,0,500,2834;
@400000005e689a221935d349 #d,-,18,2564,2368,1269,121,0,184816,11458,2564,2370,1301,2563,2368,1196,90,100,0,500,2836;
@400000005e689a2219406a5d #d,-,18,2826,2372,1162,122,0,184868,11461,2826,2372,1285,2564,2368,1113,92,100,0,500,3050;
@400000005e689a241950da14 #d,-,18,2605,2372,1135,122,0,184865,11461,2826,2372,1220,2605,2371,1135,90,100,0,500,2893;
@400000005e689a24195bce4b #d,-,18,2599,2371,1297,123,0,184908,11464,2605,2373,1297,2599,2371,1128,92,100,0,500,2813;
@400000005e689a26196ce0fd #d,-,18,2771,2371,1254,124,0,185006,11470,2771,2372,1299,2599,2371,1254,92,100,0,500,3007;
@400000005e689a261977e23d #d,-,18,2699,2370,1216,125,0,185015,11470,2771,2372,1254,2699,2370,1134,90,100,0,500,2967;
@400000005e689a281986e988 #d,-,18,2589,2371,1124,125,0,184972,11468,2699,2371,1216,2589,2370,1123,90,100,0,500,2867;
@400000005e689a28199149aa #d,-,18,2429,2370,1124,126,0,185015,11470,2589,2371,1127,2429,2369,1121,89,100,0,500,2713;
@400000005e689a2a19a01af1 #d,-,18,2428,2370,1123,127,0,184851,11460,2429,2371,1126,2428,2370,1118,89,100,0,500,2706;
@400000005e689a2a19aaecb2 #d,-,18,2428,2371,1123,127,0,184791,11457,2428,2372,1126,2428,2370,1121,89,100,0,500,2708;
@400000005e689a2a19b32dde #d,-,18,2428,2371,1122,128,0,184730,11453,2428,2371,1124,2428,2370,1121,89,100,0,500,2706;
@400000005e689a2c19bfa93c #d,-,18,2427,2372,1123,129,0,184671,11449,2428,2372,1127,2427,2371,1120,89,100,0,500,2706;
@400000005e689a2c19c8ff02 #d,-,18,2427,2369,1121,129,0,184612,11445,2427,2373,1125,2427,2369,1119,89,100,0,500,2704;
@400000005e689a2e19d6e1de #d,-,18,2427,2370,1122,130,0,184554,11442,2427,2370,1126,2427,2369,1119,89,100,0,500,2708;
@400000005e689a2e19dfa837 #d,-,18,2426,2373,1121,131,0,184595,11444,2427,2373,1124,2426,2370,1118,89,100,0,500,2701;
@400000005e689a3019eda9cf #d,-,18,2427,2373,1200,131,0,184496,11438,2427,2373,1231,2426,2372,1117,89,100,0,500,2706;
@400000005e689a3019f75720 #d,-,18,2757,2373,1287,132,0,184703,11451,2757,2373,1310,2427,2372,1200,92,100,0,500,2974;
@400000005e689a321a068589 #d,-,18,2758,2371,1201,133,0,184656,11448,2758,2373,1287,2757,2371,1177,90,100,0,500,3033;
@400000005e689a321a0fffa1 #d,-,18,2671,2372,1229,134,0,184755,11454,2758,2372,1229,2671,2370,1125,91,100,0,500,2934;
@400000005e689a341a1f1a7b #d,-,18,2609,2370,1266,134,0,184730,11453,2671,2372,1302,2609,2370,1196,91,100,0,500,2855;
