@400000005e1ebc9816ce51c0 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e1ebc9905203630 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1ebd23119a5d45 #d,-,18,2941,2349,1299,110,0,208317,12915,3051,2350,1313,2941,2348,1215,98,100,0,500,2977;
@400000005e1ebd2511a32759 #d,-,18,3041,2350,1306,111,0,208390,12920,3041,2351,1310,2941,2349,1299,99,100,0,500,3064;
@400000005e1ebd2511aa184f #d,-,18,3041,2351,1306,112,0,208462,12924,3041,2351,1306,3041,2349,1304,98,100,0,500,3073;
@400000005e1ebd2711b372be #d,-,18,3041,2351,1307,113,0,208532,12929,3041,2351,1307,3041,2349,1304,98,100,0,500,3073;
@400000005e1ebd2711ba5c41 #d,-,18,3042,2349,1306,114,0,208601,12933,3042,2351,1307,3041,2348,1304,98,100,0,500,3073;
@400000005e1ebd2911c3e186 #d,-,18,3043,2347,1308,115,0,208832,12947,3043,2351,1338,3042,2347,1304,98,100,0,500,3077;
@400000005e1ebd2911cd8a30 #d,-,18,3046,2349,1304,116,0,208895,12951,3046,2350,1308,3043,2347,1297,98,100,0,500,3098;
@400000005e1ebd2b11d92f59 #d,-,18,3045,2352,1304,116,0,208816,12946,3046,2352,1307,3045,2348,1303,99,100,0,500,3073;
@400000005e1ebd2b11e404d4 #d,-,18,3045,2350,1305,117,0,208882,12950,3045,2352,1307,3045,2349,1302,99,100,0,500,3073;
@400000005e1ebd2d11f02222 #d,-,18,3045,2350,1306,118,0,208946,12954,3045,2351,1308,3045,2349,1298,99,100,0,500,3070;
@400000005e1ebd2d11fad7f2 #d,-,18,3045,2348,1321,119,0,209025,12959,3045,2350,1337,3045,2348,1305,98,100,0,500,3077;
@400000005e1ebd2f1204e9d9 #d,-,18,3049,2352,1303,120,0,209085,12963,3049,2352,1321,3045,2348,1299,98,100,0,500,3102;
@400000005e1ebd2f120fe2b7 #d,-,18,3048,2353,1304,121,0,209148,12967,3049,2353,1307,3048,2352,1302,99,100,0,500,3075;
@400000005e1ebd3112193d25 #d,-,18,3048,2352,1304,121,0,209209,12971,3048,2353,1306,3048,2351,1303,99,100,0,500,3073;
@400000005e1ebd3112204dc6 #d,-,18,3048,2354,1304,122,0,209270,12974,3048,2354,1306,3048,2351,1302,99,100,0,500,3077;
@400000005e1ebd3312298979 #d,-,18,3048,2353,1332,123,0,209346,12979,3048,2355,1337,3048,2352,1302,99,100,0,500,3075;
@400000005e1ebd33123024c1 #d,-,18,3051,2356,1301,124,0,209402,12982,3051,2356,1332,3048,2353,1294,98,100,0,500,3105;
@400000005e1ebd351240a718 #d,-,18,3050,2355,1301,125,0,209459,12986,3051,2357,1303,3050,2355,1300,99,100,0,500,3072;
@400000005e1ebd35124b5575 #d,-,18,3050,2356,1301,126,0,209517,12990,3050,2357,1304,3050,2354,1301,99,100,0,500,3075;
@400000005e1ebd3712548d6e #d,-,18,3049,2354,1301,127,0,209573,12993,3050,2357,1304,3049,2354,1301,99,100,0,500,3073;
@400000005e1ebd37125de334 #d,-,18,3048,2352,1336,127,0,209640,12997,3049,2356,1337,3048,2351,1301,99,100,0,500,3075;
@400000005e1ebd39126d87e4 #d,-,18,3052,2353,1305,128,0,209697,13001,3052,2353,1336,3048,2351,1298,98,100,0,500,3105;
@400000005e1ebd3912783199 #d,-,18,3051,2353,1309,129,0,209753,13004,3052,2353,1310,3051,2352,1302,99,100,0,500,3073;
@400000005e1ebd3b12889ca8 #d,-,18,3051,2352,1303,130,0,209806,13008,3051,2354,1309,3051,2352,1302,99,100,0,500,3079;
@400000005e1ebd3b12933c1e #d,-,18,3050,2352,1303,131,0,209989,13019,3051,2355,1305,3050,2352,1301,99,100,0,500,3073;
@400000005e1ebd3d12a3b702 #d,-,18,3049,2353,1334,132,0,209918,13014,3050,2354,1334,3049,2352,1301,99,100,0,500,3072;
@400000005e1ebd3d12ae127c #d,-,18,3052,2353,1305,132,0,209975,13018,3052,2353,1336,3049,2351,1296,98,100,0,500,3105;
@400000005e1ebd3f12b70855 #d,-,18,3051,2352,1303,133,0,210024,13021,3052,2353,1305,3051,2351,1302,99,100,0,500,3070;
@400000005e1ebd3f12be0921 #d,-,18,3050,2351,1304,134,0,210074,13024,3051,2353,1305,3050,2351,1303,99,100,0,500,3072;
@400000005e1ebd4112cd08f8 #d,-,18,3049,2350,1306,135,0,210124,13027,3050,2353,1306,3049,2350,1303,99,100,0,500,3075;
@400000005e1ebd4112d8191f #d,-,18,3049,2352,1327,136,0,210177,13031,3049,2352,1327,3049,2349,1303,99,100,0,500,3073;
@400000005e1ebd4312e0fe35 #d,-,18,3052,2350,1307,137,0,210358,13042,3052,2352,1336,3049,2349,1298,98,100,0,500,3105;
@400000005e1ebd4312e77619 #d,-,18,3051,2352,1305,138,0,210281,13037,3052,2352,1307,3051,2350,1303,99,100,0,500,3070;
@400000005e1ebd4512f745a0 #d,-,18,3050,2351,1306,138,0,210329,13040,3051,2352,1306,3050,2349,1303,99,100,0,500,3075;
@400000005e1ebd451301ef55 #d,-,18,3050,2350,1305,139,0,210376,13043,3050,2351,1307,3050,2349,1304,99,100,0,500,3073;
@400000005e1ebd47130d32b5 #d,-,18,3049,2350,1316,140,0,210424,13046,3050,2350,1316,3049,2348,1303,99,100,0,500,3073;
@400000005e1ebd4713179e04 #d,-,18,3053,2349,1305,141,0,210479,13049,3053,2350,1339,3049,2348,1298,98,100,0,500,3105;
@400000005e1ebd491327b364 #d,-,18,3051,2351,1304,142,0,210525,13052,3053,2351,1307,3051,2348,1303,99,100,0,500,3072;
@400000005e1ebd491332b85e #d,-,18,3050,2352,1306,143,0,210569,13055,3051,2352,1307,3050,2350,1303,99,100,0,500,3075;
@400000005e1ebd4b1342c917 #d,-,18,3050,2351,1306,143,0,210733,13065,3050,2352,1306,3050,2350,1302,99,100,0,500,3073;
@400000005e1ebd4b134d7000 #d,-,18,3049,2347,1305,144,0,210657,13060,3050,2351,1307,3049,2347,1303,99,100,0,500,3075;
@400000005e1ebd4d135d65b6 #d,-,18,3045,2350,1274,145,0,210660,13060,3049,2350,1305,3045,2347,1218,99,100,0,500,3056;
@400000005e1ebd4d1367dd21 #d,-,18,2967,2350,1297,146,0,210699,13063,3045,2350,1312,2967,2349,1271,99,100,0,500,2986;
@400000005e1ebd4f13787b69 #d,-,18,3024,2349,1285,147,0,210726,13065,3024,2350,1297,2967,2348,1285,98,100,0,500,3056;
@400000005e1ebd4f1382df44 #d,-,18,3020,2350,1279,148,0,210747,13066,3024,2350,1285,3020,2348,1279,99,100,0,500,3032;
@400000005e1ebd5113922d57 #d,-,18,3016,2350,1304,148,0,210772,13067,3020,2351,1304,3016,2349,1278,99,100,0,500,3018;
