@400000005e58c53526373c02 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e58c53614849f79 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e58c5e2224fd001 #d,-,18,3260,2372,1439,145,0,221011,13702,3260,2372,1446,3260,2370,1439,93,100,0,500,3472;
@400000005e58c5e22258ff98 #d,-,18,3260,2372,1446,146,0,221088,13707,3260,2372,1447,3260,2371,1439,93,100,0,500,3469;
@400000005e58c5e422674bb1 #d,-,18,3260,2371,1443,146,0,221164,13712,3260,2372,1447,3260,2370,1437,94,100,0,500,3467;
@400000005e58c5e42270dd11 #d,-,18,3260,2370,1441,147,0,221237,13716,3260,2371,1448,3260,2370,1437,94,100,0,500,3467;
@400000005e58c5e6227ffc94 #d,-,18,3260,2372,1447,148,0,221439,13729,3260,2372,1448,3260,2370,1440,93,100,0,500,3469;
@400000005e58c5e62289cc5a #d,-,18,3260,2372,1442,149,0,221383,13725,3260,2372,1448,3260,2371,1438,93,100,0,500,3469;
@400000005e58c5e822989cb3 #d,-,18,3260,2372,1446,150,0,221456,13730,3260,2372,1448,3260,2371,1439,93,100,0,500,3469;
@400000005e58c5e822a268c0 #d,-,18,3259,2370,1439,151,0,221651,13742,3260,2372,1446,3259,2369,1439,94,100,0,500,3467;
@400000005e58c5ea22b0fba1 #d,-,18,3259,2372,1446,152,0,221719,13746,3259,2372,1446,3259,2369,1433,94,100,0,500,3464;
@400000005e58c5ea22ba80e6 #d,-,18,3258,2371,1445,153,0,221663,13743,3259,2373,1446,3258,2371,1435,94,100,0,500,3464;
@400000005e58c5ec22c980be #d,-,18,3258,2371,1443,154,0,221729,13747,3258,2372,1447,3258,2371,1434,94,100,0,500,3462;
@400000005e58c5ec22d2bb82 #d,-,18,3257,2373,1442,155,0,221795,13751,3258,2373,1447,3257,2371,1430,94,100,0,500,3460;
@400000005e58c5ee22e113b7 #d,-,18,3257,2372,1440,155,0,221861,13755,3257,2373,1445,3257,2371,1434,93,100,0,500,3467;
@400000005e58c5ee22ea9cb6 #d,-,18,3257,2371,1442,156,0,221928,13759,3257,2372,1446,3257,2371,1434,94,100,0,500,3460;
@400000005e58c5f022f971b6 #d,-,18,3257,2373,1440,157,0,221991,13763,3257,2373,1446,3257,2371,1434,94,100,0,500,3464;
@400000005e58c5f02302f342 #d,-,18,3258,2371,1445,158,0,222057,13767,3258,2373,1446,3257,2371,1437,93,100,0,500,3467;
@400000005e58c5f22311a5cd #d,-,18,3258,2370,1446,159,0,222122,13771,3258,2372,1446,3258,2370,1439,93,100,0,500,3469;
