@400000005e786b431b8d600a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e786b4409ea34f7 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e786bca16254f4c #d,-,18,2423,2365,1127,98,0,191566,11877,2423,2365,1130,2423,2362,1122,89,99,0,500,2706;
@400000005e786bcc16322c74 #d,-,18,2423,2365,1127,99,0,191293,11860,2423,2365,1130,2423,2365,1124,89,99,0,500,2708;
@400000005e786bcc163afee9 #d,-,18,2423,2365,1126,100,0,191167,11852,2423,2366,1129,2423,2364,1123,89,99,0,500,2711;
@400000005e786bce16480aa2 #d,-,18,2423,2365,1129,100,0,191042,11844,2423,2366,1130,2423,2365,1123,89,99,0,500,2711;
@400000005e786bce1650867a #d,-,18,2423,2365,1123,101,0,190918,11836,2423,2366,1131,2423,2365,1123,89,99,0,500,2711;
@400000005e786bd016601a66 #d,-,18,2424,2366,1238,101,0,190958,11839,2424,2367,1238,2423,2364,1122,89,99,0,500,2711;
@400000005e786bd01669d2e5 #d,-,18,2878,2364,1572,102,0,191220,11855,2878,2366,1596,2424,2364,1238,94,99,0,500,3054;
@400000005e786bd216793840 #d,-,18,3511,2364,1223,103,0,191702,11885,3511,2365,1572,2878,2364,1223,95,99,0,500,3673;
@400000005e786bd21682dd30 #d,-,18,3110,2364,1286,104,0,191685,11884,3511,2365,1404,3110,2364,1194,92,99,0,500,3379;
@400000005e786bd41692cb73 #d,-,18,2783,2366,1197,105,0,191689,11884,3110,2367,1286,2783,2364,1191,90,99,0,500,3059;
@400000005e786bd4169c3970 #d,-,18,2786,2364,1564,106,0,191991,11903,2786,2367,1601,2783,2364,1187,93,99,0,500,2993;
@400000005e786bd616ab73f4 #d,-,18,3511,2365,1507,107,0,192424,11930,3511,2365,1600,2786,2364,1507,94,99,0,500,3706;
@400000005e786bd616b53b59 #d,-,18,3170,2366,1284,108,0,192489,11934,3511,2368,1507,3170,2365,1143,92,99,0,500,3438;
@400000005e786bd816c4eef0 #d,-,18,2848,2366,1169,108,0,192502,11935,3170,2367,1297,2848,2365,1169,91,99,0,500,3109;
@400000005e786bd816ce654e #d,-,18,2727,2365,1514,109,0,192747,11950,2848,2367,1599,2727,2365,1168,93,99,0,500,2931;
@400000005e786bda16de0cca #d,-,18,3515,2364,1558,110,0,193174,11976,3515,2366,1603,2727,2363,1514,95,99,0,500,3697;
@400000005e786bda16e753a9 #d,-,18,3180,2367,1255,111,0,193241,11980,3515,2368,1558,3180,2363,1116,91,99,0,500,3479;
@400000005e786bdc16f695a1 #d,-,18,2888,2366,1204,112,0,193399,11990,3180,2367,1300,2888,2365,1204,92,99,0,500,3116;
@400000005e786bdc170042f2 #d,-,18,2631,2366,1454,113,0,193449,11993,2888,2366,1622,2631,2362,1116,91,99,0,500,2886;
@400000005e786bde170fda98 #d,-,18,3527,2365,1565,114,0,193860,12019,3527,2366,1604,2631,2365,1454,96,99,0,500,3668;
@400000005e786bde171944db #d,-,18,3268,2365,1260,114,0,194087,12033,3527,2367,1565,3268,2364,1127,91,99,0,500,3578;
@400000005e786be01728b652 #d,-,18,2882,2365,1227,115,0,193994,12027,3268,2365,1301,2882,2364,1227,93,99,0,500,3090;
@400000005e786be01731e9a3 #d,-,18,2607,2364,1127,116,0,193881,12020,2882,2365,1227,2607,2364,1115,89,99,0,500,2903;
@400000005e786be2173efccf #d,-,18,2479,2366,1127,117,0,193774,12013,2607,2366,1172,2479,2364,1117,90,99,0,500,2751;
@400000005e786be217478c36 #d,-,18,2473,2366,1128,117,0,193651,12006,2479,2366,1131,2473,2365,1124,90,99,0,500,2723;
@400000005e786be41754b799 #d,-,18,2467,2365,1124,118,0,193528,11998,2473,2366,1133,2467,2365,1123,91,99,0,500,2708;
@400000005e786be4175d3371 #d,-,18,2462,2363,1127,119,0,193407,11991,2467,2366,1130,2462,2363,1123,90,99,0,500,2708;
@400000005e786be6176a37b7 #d,-,18,2458,2362,1124,119,0,193289,11983,2462,2364,1132,2458,2361,1124,90,99,0,500,2708;
@400000005e786be61772b38f #d,-,18,2454,2362,1131,120,0,193292,11984,2458,2364,1131,2454,2362,1123,90,99,0,500,2713;
@400000005e786be8177f9471 #d,-,18,2451,2363,1129,121,0,193175,11976,2454,2364,1132,2451,2362,1125,90,99,0,500,2711;
@400000005e786be817885e84 #d,-,18,2449,2364,1126,121,0,193059,11969,2451,2366,1132,2449,2363,1126,90,99,0,500,2713;
@400000005e786bea17956df7 #d,-,18,2446,2363,1128,122,0,192946,11962,2449,2365,1131,2446,2363,1124,90,99,0,500,2711;
@400000005e786bea179ded89 #d,-,18,2444,2365,1126,123,0,192717,11948,2446,2365,1132,2444,2363,1121,90,99,0,500,2708;
@400000005e786bec17aada86 #d,-,18,2442,2363,1127,123,0,192721,11948,2444,2365,1133,2442,2363,1123,90,99,0,500,2708;
@400000005e786bec17b37160 #d,-,18,2440,2361,1130,124,0,192612,11941,2442,2364,1132,2440,2361,1124,90,99,0,500,2706;
