@400000005e82e9d71d1d1fa0 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e82e9d80b714ecc #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e82ea3e15ac81cc #d,-,18,2711,2366,1154,76,0,195507,12121,2712,2368,1155,2711,2366,1152,98,100,0,500,2739;
@400000005e82ea4015b897a7 #d,-,18,2710,2367,1175,77,0,195512,12121,2711,2368,1182,2710,2365,1154,98,100,0,500,2739;
@400000005e82ea4015bf94b9 #d,-,18,2712,2367,1212,77,0,195508,12121,2712,2368,1212,2710,2366,1148,98,100,0,500,2762;
@400000005e82ea4215c8fb43 #d,-,18,2848,2365,1264,78,0,195856,12143,2848,2368,1268,2712,2365,1212,99,100,0,500,2858;
@400000005e82ea4215d3e806 #d,-,18,2973,2366,1180,79,0,195989,12151,2973,2368,1265,2848,2365,1180,99,100,0,500,3002;
@400000005e82ea4415e3933a #d,-,18,2779,2367,1148,80,0,195774,12138,2973,2369,1180,2779,2366,1137,97,100,0,500,2837;
@400000005e82ea4415ee07d9 #d,-,18,2678,2367,1159,80,0,195738,12135,2779,2370,1159,2678,2366,1131,98,100,0,500,2717;
@400000005e82ea4615fd9bc6 #d,-,18,2678,2369,1140,81,0,195701,12133,2678,2369,1159,2678,2367,1131,98,100,0,500,2714;
@400000005e82ea461607e49f #d,-,18,2677,2369,1136,82,0,195836,12141,2678,2370,1140,2677,2367,1135,98,100,0,500,2708;
@400000005e82ea48161774d2 #d,-,18,2676,2369,1139,83,0,195618,12128,2677,2370,1140,2676,2366,1136,99,100,0,500,2700;
@400000005e82ea4816225a21 #d,-,18,2675,2368,1136,83,0,195575,12125,2676,2370,1139,2675,2367,1136,98,100,0,500,2703;
@400000005e82ea4a1632733c #d,-,18,2679,2368,1278,84,0,195675,12131,2679,2369,1281,2675,2366,1135,98,100,0,500,2723;
@400000005e82ea4a163cfa7b #d,-,18,2985,2367,1253,85,0,195815,12140,2985,2368,1278,2679,2365,1248,99,100,0,500,3015;
@400000005e82ea4c164cb93f #d,-,18,2871,2365,1144,86,0,195815,12140,2985,2368,1254,2871,2365,1119,98,100,0,500,2929;
@400000005e82ea4c16579361 #d,-,18,2663,2366,1139,87,0,195946,12148,2871,2368,1144,2663,2365,1138,98,100,0,500,2694;
@400000005e82ea4e1667b7a9 #d,-,18,2664,2367,1140,87,0,195739,12135,2664,2368,1140,2663,2365,1139,98,100,0,500,2705;
@400000005e82ea4e1671e580 #d,-,18,2664,2367,1158,88,0,195706,12133,2664,2369,1158,2664,2366,1138,98,100,0,500,2705;
@400000005e82ea50168117a2 #d,-,18,2668,2369,1139,89,0,195679,12132,2668,2369,1168,2664,2366,1132,97,100,0,500,2732;
@400000005e82ea50168c1081 #d,-,18,2668,2370,1138,89,0,195641,12129,2668,2370,1139,2668,2368,1136,98,100,0,500,2698;
@400000005e82ea52169d7528 #d,-,18,2668,2371,1277,90,0,195663,12131,2668,2371,1277,2668,2367,1136,98,100,0,500,2701;
@400000005e82ea5216a8a4f9 #d,-,18,2910,2370,1244,91,0,195787,12138,2910,2372,1278,2668,2368,1243,99,100,0,500,2917;
@400000005e82ea5416b90033 #d,-,18,2913,2372,1125,92,0,195843,12142,2913,2372,1255,2910,2369,1121,98,100,0,500,2968;
@400000005e82ea5416c46608 #d,-,18,2716,2372,1138,93,0,195820,12140,2913,2372,1171,2716,2370,1125,98,100,0,500,2771;
@400000005e82ea5616d590f2 #d,-,18,2709,2371,1138,93,0,195785,12138,2716,2373,1140,2709,2370,1137,100,100,0,500,2709;
@400000005e82ea5616e052dd #d,-,18,2704,2370,1138,94,0,195907,12146,2709,2373,1139,2704,2370,1137,99,100,0,500,2707;
@400000005e82ea5816f0ec7d #d,-,18,2700,2370,1137,95,0,195715,12134,2704,2372,1139,2700,2369,1137,99,100,0,500,2703;
@400000005e82ea5816fb4172 #d,-,18,2696,2370,1140,96,0,195681,12132,2700,2372,1140,2696,2369,1136,99,100,0,500,2705;
@400000005e82ea5a170d3ed6 #d,-,18,2696,2372,1131,96,0,195660,12130,2696,2372,1166,2696,2370,1130,98,100,0,500,2724;
@400000005e82ea5a1718ac1f #d,-,18,2791,2371,1247,97,0,195764,12137,2791,2372,1268,2696,2369,1131,99,100,0,500,2805;
@400000005e82ea5c17297da0 #d,-,18,2931,2371,1239,98,0,195881,12144,2931,2372,1255,2791,2368,1239,98,100,0,500,2965;
@400000005e82ea5c173521db #d,-,18,2795,2372,1140,99,0,195845,12142,2931,2372,1239,2795,2369,1118,97,100,0,500,2856;
@400000005e82ea5e1745c797 #d,-,18,2674,2370,1138,99,0,195812,12140,2795,2372,1140,2674,2370,1138,98,100,0,500,2707;
@400000005e82ea5e1751645f #d,-,18,2676,2371,1131,100,0,195794,12139,2676,2372,1167,2674,2370,1131,98,100,0,500,2719;
@400000005e82ea6017627acb #d,-,18,2676,2371,1137,101,0,195761,12137,2676,2373,1139,2676,2371,1131,98,100,0,500,2717;
@400000005e82ea60176d6c36 #d,-,18,2675,2372,1137,102,0,195873,12144,2676,2373,1139,2675,2370,1137,98,100,0,500,2707;
@400000005e82ea62177e8ebd #d,-,18,2674,2372,1136,102,0,195696,12133,2675,2373,1138,2674,2370,1136,98,100,0,500,2705;
@400000005e82ea62178acbb5 #d,-,18,2676,2370,1259,103,0,195751,12136,2676,2373,1275,2674,2370,1135,98,100,0,500,2707;
@400000005e82ea621793f6a4 #d,-,18,2976,2372,1248,104,0,195881,12144,2976,2373,1290,2676,2370,1247,99,100,0,500,2984;
@400000005e82ea6417a452cd #d,-,18,2922,2371,1147,105,0,195898,12145,2976,2374,1248,2922,2371,1127,98,100,0,500,2981;
@400000005e82ea6417af5a92 #d,-,18,2683,2373,1147,106,0,195879,12144,2922,2374,1152,2683,2371,1146,98,100,0,500,2721;
@400000005e82ea6617bf5048 #d,-,18,2683,2374,1140,106,0,195852,12142,2683,2374,1147,2683,2371,1139,98,100,0,500,2723;
@400000005e82ea6617ca73fe #d,-,18,2682,2373,1141,107,0,195824,12141,2683,2375,1141,2682,2370,1139,98,100,0,500,2712;
@400000005e82ea6817db4939 #d,-,18,2682,2372,1148,108,0,195812,12140,2682,2373,1168,2682,2371,1140,98,100,0,500,2714;
@400000005e82ea6817e5df5f #d,-,18,2684,2373,1139,108,0,195781,12138,2684,2374,1148,2682,2372,1132,98,100,0,500,2733;
@400000005e82ea6a17f66dd2 #d,-,18,2683,2374,1238,109,0,195773,12137,2684,2375,1238,2683,2372,1135,99,100,0,500,2710;
@400000005e82ea6a18012490 #d,-,18,2877,2373,1255,110,0,195890,12145,2877,2374,1284,2683,2372,1238,99,100,0,500,2885;
@400000005e82ea6c18121c41 #d,-,18,2950,2374,1139,111,0,195965,12149,2950,2375,1256,2877,2371,1139,98,100,0,500,2981;
@400000005e82ea6c181c6c8d #d,-,18,2735,2374,1161,112,0,196080,12156,2950,2374,1168,2735,2371,1118,97,100,0,500,2794;
@400000005e82ea6e182c85a7 #d,-,18,2730,2374,1141,112,0,195918,12146,2735,2375,1161,2730,2373,1133,99,100,0,500,2739;
@400000005e82ea6e183785f9 #d,-,18,2678,2374,1141,113,0,195891,12145,2730,2374,1141,2678,2372,1139,98,100,0,500,2714;
@400000005e82ea70184842fd #d,-,18,2677,2375,1139,114,0,195865,12143,2678,2375,1141,2677,2373,1138,98,100,0,500,2710;
@400000005e82ea701852ca3c #d,-,18,2677,2374,1140,115,0,195967,12149,2677,2375,1140,2677,2372,1139,98,100,0,500,2712;
@400000005e82ea721863d1c2 #d,-,18,2677,2373,1165,115,0,195821,12140,2677,2374,1166,2677,2372,1138,98,100,0,500,2710;
@400000005e82ea72186e7c65 #d,-,18,2811,2372,1248,116,0,195911,12146,2811,2374,1277,2677,2371,1160,99,100,0,500,2813;
@400000005e82ea74187f493e #d,-,18,2950,2373,1251,117,0,196010,12152,2950,2374,1256,2811,2371,1248,98,100,0,500,2986;
@400000005e82ea741889b935 #d,-,18,2821,2373,1143,118,0,195991,12151,2950,2375,1251,2821,2372,1119,97,100,0,500,2883;
@400000005e82ea76189a999d #d,-,18,2677,2373,1139,118,0,195963,12149,2821,2374,1143,2677,2371,1139,98,100,0,500,2710;
@400000005e82ea7618a50132 #d,-,18,2677,2373,1166,119,0,195944,12148,2677,2374,1166,2677,2371,1138,98,100,0,500,2710;
@400000005e82ea7818b52a21 #d,-,18,2680,2371,1143,120,0,195922,12147,2680,2373,1168,2677,2365,1133,97,100,0,500,2739;
@400000005e82ea7818c02a73 #d,-,18,2679,2369,1141,121,0,195896,12145,2680,2371,1143,2679,2367,1141,98,100,0,500,2707;
@400000005e82ea7a18d1396c #d,-,18,2678,2370,1140,121,0,195870,12143,2679,2370,1142,2678,2367,1140,98,100,0,500,2710;
@400000005e82ea7a18dbe40f #d,-,18,2677,2369,1279,122,0,196024,12153,2678,2370,1285,2677,2367,1137,98,100,0,500,2707;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
