@400000005e22b5b51b12d0b6 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e22b5b609667e6e #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b65a1705e3b4 #d,-,18,3287,2364,1456,137,0,219780,13626,3287,2364,1460,3287,2364,1451,94,100,0,500,3486;
@400000005e22b65a170fa84d #d,-,18,3287,2362,1457,138,0,219880,13632,3287,2364,1459,3287,2361,1453,94,100,0,500,3486;
@400000005e22b65c171eb352 #d,-,18,3287,2361,1461,139,0,219978,13638,3287,2363,1462,3287,2361,1451,94,100,0,500,3486;
@400000005e22b65c1727bbcc #d,-,18,3287,2363,1461,140,0,220076,13644,3287,2363,1462,3287,2361,1451,94,100,0,500,3490;
@400000005e22b65e173675ca #d,-,18,3287,2361,1454,141,0,220170,13650,3287,2363,1462,3287,2360,1452,94,100,0,500,3486;
@400000005e22b65e174050be #d,-,18,3287,2362,1459,142,0,220265,13656,3287,2362,1461,3287,2360,1449,94,100,0,500,3483;
@400000005e22b660174fc235 #d,-,18,3287,2364,1454,143,0,220358,13662,3287,2364,1460,3287,2362,1448,94,100,0,500,3488;
@400000005e22b66017591087 #d,-,18,3287,2365,1457,144,0,220448,13667,3287,2365,1457,3287,2364,1448,94,100,0,500,3486;
@400000005e22b66217680532 #d,-,18,3286,2362,1453,144,0,220540,13673,3287,2365,1461,3286,2362,1450,94,100,0,500,3483;
@400000005e22b66217710dac #d,-,18,3286,2363,1459,145,0,220632,13679,3286,2363,1461,3286,2361,1451,94,100,0,500,3486;
@400000005e22b66417804830 #d,-,18,3288,2362,1465,146,0,220726,13685,3288,2363,1465,3286,2362,1457,94,100,0,500,3493;
@400000005e22b6641789d991 #d,-,18,3289,2362,1458,147,0,220945,13698,3289,2363,1466,3288,2361,1456,94,100,0,500,3498;
@400000005e22b66617992b5d #d,-,18,3290,2363,1469,148,0,220910,13696,3290,2363,1469,3289,2361,1455,94,100,0,500,3495;
@400000005e22b66617a2a487 #d,-,18,3291,2362,1456,149,0,221127,13709,3291,2363,1469,3290,2362,1456,93,100,0,500,3502;
@400000005e22b66817b11404 #d,-,18,3292,2362,1457,150,0,221089,13707,3292,2362,1465,3291,2361,1455,94,100,0,500,3495;
@400000005e22b66817b8d864 #d,-,18,3292,2359,1462,151,0,221178,13713,3292,2362,1465,3292,2359,1455,94,100,0,500,3488;
@400000005e22b66a17c7b11e #d,-,18,3293,2359,1459,152,0,221389,13726,3293,2360,1466,3292,2359,1455,94,100,0,500,3493;
@400000005e22b66a17d0b224 #d,-,18,3293,2362,1463,153,0,221474,13731,3293,2362,1463,3293,2359,1455,94,100,0,500,3495;
@400000005e22b66c17dee24c #d,-,18,3293,2363,1458,154,0,221435,13728,3293,2363,1464,3293,2362,1456,94,100,0,500,3488;
@400000005e22b66c17e8a32d #d,-,18,3294,2362,1462,155,0,221517,13734,3294,2363,1465,3293,2362,1453,94,100,0,500,3493;
@400000005e22b66e17f73d81 #d,-,18,3293,2361,1462,155,0,221599,13739,3294,2363,1464,3293,2360,1455,94,100,0,500,3493;
@400000005e22b66e18006d18 #d,-,18,3294,2361,1454,156,0,221682,13744,3294,2362,1465,3293,2361,1454,94,100,0,500,3495;
@400000005e22b670180f3d70 #d,-,18,3294,2363,1459,157,0,221763,13749,3294,2363,1464,3294,2361,1452,94,100,0,500,3490;
@400000005e22b67018185978 #d,-,18,3294,2364,1460,158,0,221844,13754,3294,2364,1464,3294,2363,1454,94,100,0,500,3493;
@400000005e22b6721827b760 #d,-,18,3295,2363,1462,159,0,221926,13759,3295,2364,1466,3294,2363,1454,94,100,0,500,3498;
@400000005e22b6721830c74d #d,-,18,3295,2364,1458,160,0,222004,13764,3295,2364,1462,3295,2363,1456,94,100,0,500,3495;
