@400000005e7476fa17cf8199 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7476fb062be8a1 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7477ad13a3ec55 #d,-,18,2563,2361,1141,126,0,186218,11545,2665,2363,1179,2563,2360,1136,90,100,0,500,2839;
@400000005e7477ad13ada88d #d,-,18,2479,2360,1734,127,0,186372,11555,2563,2362,1768,2479,2359,1138,89,100,0,500,2763;
@400000005e7477af13bc69ff #d,-,18,3457,2361,1290,128,0,186528,11564,3457,2361,1734,2479,2358,1026,96,100,0,500,3564;
@400000005e7477af13c5bcfa #d,-,18,2597,2360,1214,129,0,186662,11573,3457,2362,1304,2597,2359,1200,87,100,0,500,2960;
@400000005e7477b113d3caad #d,-,18,2667,2362,1193,129,0,186566,11567,2667,2362,1222,2597,2359,1183,91,100,0,500,2922;
@400000005e7477b113dd95cc #d,-,18,2567,2361,1143,130,0,186524,11564,2667,2362,1194,2567,2360,1131,90,100,0,500,2846;
@400000005e7477b313ea8682 #d,-,18,2455,2362,1131,131,0,186463,11560,2567,2362,1145,2455,2360,1124,89,100,0,500,2737;
@400000005e7477b313f33d07 #d,-,18,2452,2360,1129,131,0,186397,11556,2455,2362,1134,2452,2360,1127,90,100,0,500,2713;
@400000005e7477b513ffa11d #d,-,18,2449,2362,1130,132,0,186331,11552,2452,2362,1134,2449,2360,1127,90,100,0,500,2713;
@400000005e7477b51408ccfa #d,-,18,2446,2360,1135,133,0,186266,11548,2449,2362,1135,2446,2359,1126,90,100,0,500,2708;
@400000005e7477b714154c12 #d,-,18,2444,2360,1129,133,0,186201,11544,2446,2361,1135,2444,2358,1128,90,100,0,500,2711;
@400000005e7477b7141e0650 #d,-,18,2442,2360,1129,134,0,186138,11540,2444,2361,1132,2442,2360,1127,90,100,0,500,2708;
@400000005e7477b9142acfe9 #d,-,18,2440,2358,1126,135,0,186073,11536,2442,2360,1131,2440,2357,1123,90,100,0,500,2706;
